Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (biological process),Gene Ontology (GO),Gene Ontology IDs,Gene Ontology (cellular component),Gene Ontology (molecular function)
E9PYV8,unreviewed,E9PYV8_MOUSE,"A disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9",Adamts9,Mus musculus (Mouse),1350,aorta morphogenesis [GO:0035909]; endothelial cell-matrix adhesion [GO:0090673]; extracellular matrix organization [GO:0030198]; heart valve morphogenesis [GO:0003179]; melanocyte differentiation [GO:0030318]; negative regulation of endothelial cell migration [GO:0010596]; negative regulation of sprouting angiogenesis [GO:1903671]; positive regulation of melanocyte differentiation [GO:0045636]; proteolysis [GO:0006508]; regulation of developmental pigmentation [GO:0048070]; response to bacterium [GO:0009617]; ventricular cardiac muscle tissue development [GO:0003229],cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231]; endopeptidase activity [GO:0004175]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]; aorta morphogenesis [GO:0035909]; endothelial cell-matrix adhesion [GO:0090673]; extracellular matrix organization [GO:0030198]; heart valve morphogenesis [GO:0003179]; melanocyte differentiation [GO:0030318]; negative regulation of endothelial cell migration [GO:0010596]; negative regulation of sprouting angiogenesis [GO:1903671]; positive regulation of melanocyte differentiation [GO:0045636]; proteolysis [GO:0006508]; regulation of developmental pigmentation [GO:0048070]; response to bacterium [GO:0009617]; ventricular cardiac muscle tissue development [GO:0003229],GO:0003179; GO:0003229; GO:0004175; GO:0004222; GO:0005615; GO:0005783; GO:0006508; GO:0008237; GO:0008270; GO:0009617; GO:0009986; GO:0010596; GO:0030198; GO:0030318; GO:0031012; GO:0035909; GO:0043231; GO:0045636; GO:0048070; GO:0090673; GO:1903671,cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231],endopeptidase activity [GO:0004175]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]
Q69ZM2,unreviewed,Q69ZM2_MOUSE,MKIAA1312 protein,Adamts9 mKIAA1312,Mus musculus (Mouse),276,extracellular matrix organization [GO:0030198]; melanocyte differentiation [GO:0030318]; positive regulation of melanocyte differentiation [GO:0045636]; proteolysis [GO:0006508]; regulation of developmental pigmentation [GO:0048070]; response to bacterium [GO:0009617],cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231]; endopeptidase activity [GO:0004175]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; extracellular matrix organization [GO:0030198]; melanocyte differentiation [GO:0030318]; positive regulation of melanocyte differentiation [GO:0045636]; proteolysis [GO:0006508]; regulation of developmental pigmentation [GO:0048070]; response to bacterium [GO:0009617],GO:0004175; GO:0004222; GO:0005615; GO:0005783; GO:0006508; GO:0008237; GO:0009617; GO:0009986; GO:0030198; GO:0030318; GO:0031012; GO:0043231; GO:0045636; GO:0048070,cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231],endopeptidase activity [GO:0004175]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]
Q8CDB8,unreviewed,Q8CDB8_MOUSE,GON domain-containing protein,Adamts9,Mus musculus (Mouse),701,extracellular matrix organization [GO:0030198]; melanocyte differentiation [GO:0030318]; positive regulation of melanocyte differentiation [GO:0045636]; proteolysis [GO:0006508]; regulation of developmental pigmentation [GO:0048070]; response to bacterium [GO:0009617],cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231]; endopeptidase activity [GO:0004175]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]; extracellular matrix organization [GO:0030198]; melanocyte differentiation [GO:0030318]; positive regulation of melanocyte differentiation [GO:0045636]; proteolysis [GO:0006508]; regulation of developmental pigmentation [GO:0048070]; response to bacterium [GO:0009617],GO:0004175; GO:0004222; GO:0005615; GO:0005783; GO:0006508; GO:0008237; GO:0008270; GO:0009617; GO:0009986; GO:0030198; GO:0030318; GO:0031012; GO:0043231; GO:0045636; GO:0048070,cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231],endopeptidase activity [GO:0004175]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]
O35083,reviewed,PLCA_MOUSE,"1-acyl-sn-glycerol-3-phosphate acyltransferase alpha, EC 2.3.1.51 (1-acylglycerol-3-phosphate O-acyltransferase 1, 1-AGP acyltransferase 1, 1-AGPAT 1) (Lysophosphatidic acid acyltransferase alpha, LPAAT-alpha)",Agpat1,Mus musculus (Mouse),285,CDP-diacylglycerol biosynthetic process [GO:0016024]; phosphatidic acid biosynthetic process [GO:0006654]; positive regulation of cytokine production [GO:0001819],endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; 1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]; CDP-diacylglycerol biosynthetic process [GO:0016024]; phosphatidic acid biosynthetic process [GO:0006654]; positive regulation of cytokine production [GO:0001819],GO:0001819; GO:0003841; GO:0005783; GO:0005789; GO:0006654; GO:0016021; GO:0016024,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021],1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]
A0A0R4J263,unreviewed,A0A0R4J263_MOUSE,"1-acyl-sn-glycerol-3-phosphate acyltransferase, EC 2.3.1.51",Agpat1,Mus musculus (Mouse),285,phosphatidic acid biosynthetic process [GO:0006654]; positive regulation of cytokine production [GO:0001819],endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; 1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]; phosphatidic acid biosynthetic process [GO:0006654]; positive regulation of cytokine production [GO:0001819],GO:0001819; GO:0003841; GO:0005783; GO:0006654; GO:0016021,endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021],1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]
G3UWV6,unreviewed,G3UWV6_MOUSE,"1-acyl-sn-glycerol-3-phosphate acyltransferase, EC 2.3.1.51",Agpat1,Mus musculus (Mouse),198,phospholipid biosynthetic process [GO:0008654],integral component of membrane [GO:0016021]; 1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]; phospholipid biosynthetic process [GO:0008654],GO:0003841; GO:0008654; GO:0016021,integral component of membrane [GO:0016021],1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]
G3UXY8,unreviewed,G3UXY8_MOUSE,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,Agpat1,Mus musculus (Mouse),80,,integral component of membrane [GO:0016021],GO:0016021,integral component of membrane [GO:0016021],
G3UY51,unreviewed,G3UY51_MOUSE,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,Agpat1,Mus musculus (Mouse),83,,integral component of membrane [GO:0016021],GO:0016021,integral component of membrane [GO:0016021],
G3UYV9,unreviewed,G3UYV9_MOUSE,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,Agpat1,Mus musculus (Mouse),149,,integral component of membrane [GO:0016021]; acyltransferase activity [GO:0016746],GO:0016021; GO:0016746,integral component of membrane [GO:0016021],acyltransferase activity [GO:0016746]
Q8BUB3,unreviewed,Q8BUB3_MOUSE,"1-acyl-sn-glycerol-3-phosphate acyltransferase, EC 2.3.1.51",Agpat1,Mus musculus (Mouse),326,phospholipid biosynthetic process [GO:0008654],integral component of membrane [GO:0016021]; 1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]; phospholipid biosynthetic process [GO:0008654],GO:0003841; GO:0008654; GO:0016021,integral component of membrane [GO:0016021],1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]
Q91VJ9,unreviewed,Q91VJ9_MOUSE,"1-acyl-sn-glycerol-3-phosphate acyltransferase, EC 2.3.1.51",Agpat1,Mus musculus (Mouse),285,phospholipid biosynthetic process [GO:0008654],integral component of membrane [GO:0016021]; 1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]; phospholipid biosynthetic process [GO:0008654],GO:0003841; GO:0008654; GO:0016021,integral component of membrane [GO:0016021],1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]
O88312,reviewed,AGR2_MOUSE,"Anterior gradient protein 2 homolog, AG-2, mAG-2 (Protein Gob-4) (Secreted cement gland protein XAG-2 homolog)",Agr2 Gob4,Mus musculus (Mouse),175,digestive tract morphogenesis [GO:0048546]; lung goblet cell differentiation [GO:0060480]; mucus secretion [GO:0070254]; negative regulation of cell death [GO:0060548]; positive regulation of cell-substrate adhesion [GO:0010811]; positive regulation of developmental growth [GO:0048639]; positive regulation of epidermal growth factor receptor signaling pathway [GO:0045742]; positive regulation of gene expression [GO:0010628]; positive regulation of IRE1-mediated unfolded protein response [GO:1903896]; positive regulation of PERK-mediated unfolded protein response [GO:1903899]; positive regulation of protein localization to plasma membrane [GO:1903078],endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; mitochondrion [GO:0005739]; dystroglycan binding [GO:0002162]; epidermal growth factor receptor binding [GO:0005154]; identical protein binding [GO:0042802]; digestive tract morphogenesis [GO:0048546]; lung goblet cell differentiation [GO:0060480]; mucus secretion [GO:0070254]; negative regulation of cell death [GO:0060548]; positive regulation of cell-substrate adhesion [GO:0010811]; positive regulation of developmental growth [GO:0048639]; positive regulation of epidermal growth factor receptor signaling pathway [GO:0045742]; positive regulation of gene expression [GO:0010628]; positive regulation of IRE1-mediated unfolded protein response [GO:1903896]; positive regulation of PERK-mediated unfolded protein response [GO:1903899]; positive regulation of protein localization to plasma membrane [GO:1903078],GO:0002162; GO:0005154; GO:0005576; GO:0005615; GO:0005739; GO:0005783; GO:0010628; GO:0010811; GO:0042802; GO:0045742; GO:0048546; GO:0048639; GO:0060480; GO:0060548; GO:0070254; GO:1903078; GO:1903896; GO:1903899,endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; mitochondrion [GO:0005739],dystroglycan binding [GO:0002162]; epidermal growth factor receptor binding [GO:0005154]; identical protein binding [GO:0042802]
Q8R3W7,reviewed,AGR3_MOUSE,Anterior gradient protein 3,Agr3,Mus musculus (Mouse),165,negative regulation of cell death [GO:0060548],endoplasmic reticulum [GO:0005783]; intracellular membrane-bounded organelle [GO:0043231]; dystroglycan binding [GO:0002162]; negative regulation of cell death [GO:0060548],GO:0002162; GO:0005783; GO:0043231; GO:0060548,endoplasmic reticulum [GO:0005783]; intracellular membrane-bounded organelle [GO:0043231],dystroglycan binding [GO:0002162]
A7NSI2,unreviewed,A7NSI2_MOUSE,Anterior gradient protein 3,Agr3,Mus musculus (Mouse),35,,,,,
P07724,reviewed,ALBU_MOUSE,Albumin,Alb Alb-1 Alb1,Mus musculus (Mouse),608,"cellular response to starvation [GO:0009267]; maintenance of mitochondrion location [GO:0051659]; negative regulation of apoptotic process [GO:0043066]; positive regulation of circadian sleep/wake cycle, non-REM sleep [GO:0046010]","basement membrane [GO:0005604]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; myelin sheath [GO:0043209]; protein-containing complex [GO:0032991]; chaperone binding [GO:0051087]; DNA binding [GO:0003677]; enterobactin binding [GO:1903981]; enzyme binding [GO:0019899]; exogenous protein binding [GO:0140272]; fatty acid binding [GO:0005504]; identical protein binding [GO:0042802]; modified amino acid binding [GO:0072341]; oxygen binding [GO:0019825]; pyridoxal phosphate binding [GO:0030170]; toxic substance binding [GO:0015643]; zinc ion binding [GO:0008270]; cellular response to starvation [GO:0009267]; maintenance of mitochondrion location [GO:0051659]; negative regulation of apoptotic process [GO:0043066]; positive regulation of circadian sleep/wake cycle, non-REM sleep [GO:0046010]",GO:0003677; GO:0005504; GO:0005576; GO:0005604; GO:0005615; GO:0005737; GO:0005783; GO:0005794; GO:0008270; GO:0009267; GO:0015643; GO:0019825; GO:0019899; GO:0030170; GO:0032991; GO:0042802; GO:0043066; GO:0043209; GO:0046010; GO:0051087; GO:0051659; GO:0070062; GO:0072341; GO:0140272; GO:1903981,basement membrane [GO:0005604]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; myelin sheath [GO:0043209]; protein-containing complex [GO:0032991],chaperone binding [GO:0051087]; DNA binding [GO:0003677]; enterobactin binding [GO:1903981]; enzyme binding [GO:0019899]; exogenous protein binding [GO:0140272]; fatty acid binding [GO:0005504]; identical protein binding [GO:0042802]; modified amino acid binding [GO:0072341]; oxygen binding [GO:0019825]; pyridoxal phosphate binding [GO:0030170]; toxic substance binding [GO:0015643]; zinc ion binding [GO:0008270]
K7R066,unreviewed,K7R066_MOUSE,Albumin,Alb alb,Mus musculus (Mouse),171,,extracellular space [GO:0005615],GO:0005615,extracellular space [GO:0005615],
Q546G4,unreviewed,Q546G4_MOUSE,Serum albumin,Alb alb Alb1,Mus musculus (Mouse),608,cellular response to starvation [GO:0009267]; maintenance of mitochondrion location [GO:0051659]; negative regulation of apoptotic process [GO:0043066],endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; protein-containing complex [GO:0032991]; chaperone binding [GO:0051087]; DNA binding [GO:0003677]; enterobactin binding [GO:1903981]; exogenous protein binding [GO:0140272]; fatty acid binding [GO:0005504]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; oxygen binding [GO:0019825]; pyridoxal phosphate binding [GO:0030170]; toxic substance binding [GO:0015643]; cellular response to starvation [GO:0009267]; maintenance of mitochondrion location [GO:0051659]; negative regulation of apoptotic process [GO:0043066],GO:0003677; GO:0005504; GO:0005783; GO:0005794; GO:0009267; GO:0015643; GO:0019825; GO:0030170; GO:0032991; GO:0042802; GO:0043066; GO:0046872; GO:0051087; GO:0051659; GO:0070062; GO:0140272; GO:1903981,endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; protein-containing complex [GO:0032991],chaperone binding [GO:0051087]; DNA binding [GO:0003677]; enterobactin binding [GO:1903981]; exogenous protein binding [GO:0140272]; fatty acid binding [GO:0005504]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; oxygen binding [GO:0019825]; pyridoxal phosphate binding [GO:0030170]; toxic substance binding [GO:0015643]
