Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (cellular component),Subcellular location [CC],Mass,Function [CC],Tissue specificity,Gene Ontology (biological process),Signal peptide,Transit peptide
O75610,reviewed,LFTY1_HUMAN,Left-right determination factor 1 (Left-right determination factor B) (Protein lefty-1) (Protein lefty-B),LEFTY1 LEFTB LEFTYB UNQ278/PRO317,Homo sapiens (Human),366,extracellular space [GO:0005615],SUBCELLULAR LOCATION: Secreted.,40880,FUNCTION: Required for left-right axis determination as a regulator of LEFTY2 and NODAL.,,BMP signaling pathway [GO:0030509]; determination of left/right symmetry [GO:0007368]; heart morphogenesis [GO:0003007]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of pathway-restricted SMAD protein phosphorylation [GO:0010862]; SMAD protein signal transduction [GO:0060395]; transforming growth factor beta receptor signaling pathway [GO:0007179],"SIGNAL 1..21; /evidence=""ECO:0000255""",
O75629,reviewed,CREG1_HUMAN,Protein CREG1 (Cellular repressor of E1A-stimulated genes 1),CREG1 CREG UNQ727/PRO1409,Homo sapiens (Human),220,azurophil granule lumen [GO:0035578]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; transcription regulator complex [GO:0005667],SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10815803}.,24075,"FUNCTION: May contribute to the transcriptional control of cell growth and differentiation. Antagonizes transcriptional activation and cellular transformation by the adenovirus E1A protein. The transcriptional control activity of cell growth requires interaction with IGF2R. {ECO:0000269|PubMed:12934103, ECO:0000269|PubMed:9710587}.",,regulation of growth [GO:0040008]; regulation of transcription by RNA polymerase II [GO:0006357],"SIGNAL 1..31; /evidence=""ECO:0000269|PubMed:15340161""",
O75636,reviewed,FCN3_HUMAN,Ficolin-3 (Collagen/fibrinogen domain-containing lectin 3 p35) (Collagen/fibrinogen domain-containing protein 3) (Hakata antigen),FCN3 FCNH HAKA1,Homo sapiens (Human),299,blood microparticle [GO:0072562]; collagen trimer [GO:0005581]; collagen-containing extracellular matrix [GO:0062023]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; serine-type endopeptidase complex [GO:1905370],"SUBCELLULAR LOCATION: Secreted. Note=Found in blood plasma, bronchus, alveolus and bile duct.",32903,"FUNCTION: May function in innate immunity through activation of the lectin complement pathway. Calcium-dependent and GlcNAc-binding lectin. Has affinity with GalNAc, GlcNAc, D-fucose, as mono/oligosaccharide and lipopolysaccharides from S.typhimurium and S.minnesota. {ECO:0000269|PubMed:11907111, ECO:0000269|PubMed:17215869}.",TISSUE SPECIFICITY: Liver and lung. In liver it is produced by bile duct epithelial cells and hepatocytes. In lung it is produced by both ciliated bronchial epithelial cells and type II alveolar epithelial cells. {ECO:0000269|PubMed:10330454}.,"cell surface pattern recognition receptor signaling pathway [GO:0002752]; complement activation [GO:0006956]; complement activation, lectin pathway [GO:0001867]; defense response to virus [GO:0051607]; negative regulation of RNA biosynthetic process [GO:1902679]; negative regulation of viral entry into host cell [GO:0046597]; positive regulation of opsonization [GO:1903028]; proteolysis [GO:0006508]; recognition of apoptotic cell [GO:0043654]","SIGNAL 1..23; /evidence=""ECO:0000269|PubMed:15340161""",
O75718,reviewed,CRTAP_HUMAN,Cartilage-associated protein,CRTAP CASP,Homo sapiens (Human),401,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular space [GO:0005615]; protein-containing complex [GO:0032991],"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.",46562,FUNCTION: Necessary for efficient 3-hydroxylation of fibrillar collagen prolyl residues. {ECO:0000269|PubMed:17055431}.,TISSUE SPECIFICITY: Found in articular chondrocytes. Expressed in a variety of tissues.,chaperone-mediated protein folding [GO:0061077]; collagen fibril organization [GO:0030199]; negative regulation of post-translational protein modification [GO:1901874]; peptidyl-proline hydroxylation to 3-hydroxy-L-proline [GO:0018400]; protein stabilization [GO:0050821]; spermatogenesis [GO:0007283],"SIGNAL 1..26; /evidence=""ECO:0000255""",
O75829,reviewed,CNMD_HUMAN,"Leukocyte cell-derived chemotaxin 1 (Chondromodulin) [Cleaved into: Chondrosurfactant protein, CH-SP; Chondromodulin-1 (Chondromodulin-I, ChM-I) ]",CNMD CHMI LECT1 MYETS1,Homo sapiens (Human),334,endomembrane system [GO:0012505]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021],"SUBCELLULAR LOCATION: [Chondromodulin-1]: Secreted, extracellular space, extracellular matrix. Note=Accumulated in the inter-territorial matrix of cartilage.; SUBCELLULAR LOCATION: [Chondrosurfactant protein]: Endomembrane system {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.",37102,FUNCTION: Bifunctional growth regulator that stimulates the growth of cultured chondrocytes in the presence of basic fibroblast growth factor (FGF) but inhibits the growth of cultured vascular endothelial cells. May contribute to the rapid growth of cartilage and vascular invasion prior to the replacement of cartilage by bone during endochondral bone development. Inhibits in vitro tube formation and mobilization of endothelial cells. Plays a role as antiangiogenic factor in cardiac valves to suppress neovascularization. {ECO:0000269|PubMed:16980969}.,"TISSUE SPECIFICITY: Detected in cartilage and cardiac valves (at protein level). Detected in the laminae fibrosa, spongiosa and ventricularis layers of normal cardiac valves (at protein level). Expression is decreased cardiac valves of patients with valvular heart disease (at protein level). Weakly expressed in chondrosarcoma. {ECO:0000269|PubMed:16980969}.",cartilage development [GO:0051216]; cell differentiation [GO:0030154]; negative regulation of angiogenesis [GO:0016525]; negative regulation of endothelial cell proliferation [GO:0001937]; proteoglycan metabolic process [GO:0006029]; skeletal system development [GO:0001501],,
O75882,reviewed,ATRN_HUMAN,Attractin (DPPT-L) (Mahogany homolog),ATRN KIAA0548 MGCA,Homo sapiens (Human),1429,basement membrane [GO:0005604]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:7539799}; Single-pass type I membrane protein {ECO:0000269|PubMed:7539799}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:7539799, ECO:0000269|PubMed:9736737}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000269|PubMed:7539799}.",158537,"FUNCTION: Involved in the initial immune cell clustering during inflammatory response and may regulate chemotactic activity of chemokines. May play a role in melanocortin signaling pathways that regulate energy homeostasis and hair color. Low-affinity receptor for agouti (By similarity). Has a critical role in normal myelination in the central nervous system (By similarity). {ECO:0000250, ECO:0000269|PubMed:9736737}.","TISSUE SPECIFICITY: Isoform 2 is detected in plasma (at protein level). Expressed and secreted by activated T-lymphocytes. Expressed at low to moderate levels in peripheral blood leukocytes, spleen, lymph node, tonsil, bone marrow and fetal liver. At very low levels found in thymus. Isoform 2 is the major isoform in peripheral blood leukocytes. {ECO:0000269|PubMed:10811918, ECO:0000269|PubMed:17261078}.",animal organ morphogenesis [GO:0009887]; cell migration [GO:0016477]; cerebellum development [GO:0021549]; inflammatory response [GO:0006954]; myelination [GO:0042552]; pigmentation [GO:0043473]; regulation of multicellular organism growth [GO:0040014]; response to oxidative stress [GO:0006979]; substrate adhesion-dependent cell spreading [GO:0034446]; tissue development [GO:0009888],"SIGNAL 1..28; /evidence=""ECO:0000255""",
O75888,reviewed,TNF13_HUMAN,"Tumor necrosis factor ligand superfamily member 13 (A proliferation-inducing ligand, APRIL) (TNF- and APOL-related leukocyte expressed ligand 2, TALL-2) (TNF-related death ligand 1, TRDL-1) (CD antigen CD256)",TNFSF13 APRIL TALL2 ZTNF2 UNQ383/PRO715,Homo sapiens (Human),250,cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane [GO:0016020]; nucleoplasm [GO:0005654],SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:11571266}.,27433,FUNCTION: Cytokine that binds to TNFRSF13B/TACI and to TNFRSF17/BCMA. Plays a role in the regulation of tumor cell growth. May be involved in monocyte/macrophage-mediated immunological processes. {ECO:0000269|PubMed:10973284}.,"TISSUE SPECIFICITY: Expressed at high levels in transformed cell lines, cancers of colon, thyroid, lymphoid tissues and specifically expressed in monocytes and macrophages.",immune response [GO:0006955]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of isotype switching to IgA isotypes [GO:0048298]; signal transduction [GO:0007165],,
O75951,reviewed,LYZL6_HUMAN,"Lysozyme-like protein 6, EC 3.2.1.17",LYZL6 LYC1 UNQ754/PRO1485,Homo sapiens (Human),148,acrosomal vesicle [GO:0001669]; cell surface [GO:0009986]; extracellular region [GO:0005576]; sperm flagellum [GO:0036126]; sperm midpiece [GO:0097225]; sperm plasma membrane [GO:0097524],"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:28182716}. Cell surface {ECO:0000269|PubMed:28182716}. Cell projection, cilium, flagellum {ECO:0000250|UniProtKB:Q9DA11}. Note=Detected on the postacrosomal membrane of mature spermatozoa (PubMed:28182716). {ECO:0000269|PubMed:28182716}.",16956,"FUNCTION: May be involved sperm-egg plasma membrane adhesion and fusion during fertilization (PubMed:28182716). Exhibits bacteriolytic activity in vitro against Micrococcus luteus and Staphylococcus aureus (PubMed:28182716, PubMed:24013621). Shows weak bacteriolytic activity against Gram-positive bacteria at physiological pH (PubMed:28182716). Bacteriolytic activity is pH-dependent, with a maximum at around pH 5.6 (PubMed:28182716). {ECO:0000269|PubMed:24013621, ECO:0000269|PubMed:28182716}.","TISSUE SPECIFICITY: Expressed in testis, epididymis and spermatozoa (at protein level) (PubMed:16014814, PubMed:28182716). Expressed in late-stage spermatocytes and round spermatids (PubMed:28182716). {ECO:0000269|PubMed:16014814, ECO:0000269|PubMed:28182716}.",cytolysis [GO:0019835]; defense response to bacterium [GO:0042742]; fertilization [GO:0009566]; fusion of sperm to egg plasma membrane involved in single fertilization [GO:0007342]; metabolic process [GO:0008152],"SIGNAL 1..19; /evidence=""ECO:0000255""",
O76061,reviewed,STC2_HUMAN,"Stanniocalcin-2, STC-2 (Stanniocalcin-related protein, STC-related protein, STCRP)",STC2,Homo sapiens (Human),302,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; perinuclear region of cytoplasm [GO:0048471],SUBCELLULAR LOCATION: Secreted {ECO:0000305}.,33249,FUNCTION: Has an anti-hypocalcemic action on calcium and phosphate homeostasis.,"TISSUE SPECIFICITY: Expressed in a variety of tissues including muscle, heart, pancreas, kidney, spleen, prostate, small intestine, colon and peripheral blood leukocytes.",cellular calcium ion homeostasis [GO:0006874]; cellular response to hypoxia [GO:0071456]; decidualization [GO:0046697]; embryo implantation [GO:0007566]; endoplasmic reticulum unfolded protein response [GO:0030968]; negative regulation of gene expression [GO:0010629]; negative regulation of multicellular organism growth [GO:0040015]; regulation of hormone biosynthetic process [GO:0046885]; regulation of store-operated calcium entry [GO:2001256]; response to oxidative stress [GO:0006979]; response to peptide hormone [GO:0043434]; response to vitamin D [GO:0033280],"SIGNAL 1..24; /evidence=""ECO:0000255""",
O76076,reviewed,CCN5_HUMAN,"CCN family member 5 (Connective tissue growth factor-like protein, CTGF-L) (Connective tissue growth factor-related protein 58) (WNT1-inducible-signaling pathway protein 2, WISP-2)",CCN5 CT58 CTGFL WISP2 UNQ228/PRO261,Homo sapiens (Human),250,extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; nucleus [GO:0005634],SUBCELLULAR LOCATION: Secreted {ECO:0000305}.,26825,"FUNCTION: May play an important role in modulating bone turnover. Promotes the adhesion of osteoblast cells and inhibits the binding of fibrinogen to integrin receptors. In addition, inhibits osteocalcin production.","TISSUE SPECIFICITY: Expressed in primary osteoblasts, fibroblasts, ovary, testes, and heart.",cell adhesion [GO:0007155]; cell-cell signaling [GO:0007267]; negative regulation of cell death [GO:0060548]; signal transduction [GO:0007165],"SIGNAL 1..23; /evidence=""ECO:0000269|PubMed:15340161""",
O76093,reviewed,FGF18_HUMAN,"Fibroblast growth factor 18, FGF-18 (zFGF5)",FGF18 UNQ420/PRO856,Homo sapiens (Human),207,cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; nucleolus [GO:0005730],SUBCELLULAR LOCATION: Secreted {ECO:0000250}.,23989,"FUNCTION: Plays an important role in the regulation of cell proliferation, cell differentiation and cell migration. Required for normal ossification and bone development. Stimulates hepatic and intestinal proliferation. {ECO:0000269|PubMed:16597617}.",,anatomical structure morphogenesis [GO:0009653]; angiogenesis [GO:0001525]; animal organ morphogenesis [GO:0009887]; cell differentiation [GO:0030154]; cell population proliferation [GO:0008283]; cell-cell signaling [GO:0007267]; chondrocyte development [GO:0002063]; endochondral ossification [GO:0001958]; ERK1 and ERK2 cascade [GO:0070371]; fibroblast growth factor receptor signaling pathway [GO:0008543]; intramembranous ossification [GO:0001957]; lung development [GO:0030324]; positive regulation of angiogenesis [GO:0045766]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of chondrocyte differentiation [GO:0032332]; positive regulation of endothelial cell chemotaxis to fibroblast growth factor [GO:2000546]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030949]; regulation of cell migration [GO:0030334]; signal transduction [GO:0007165]; vascular endothelial growth factor receptor signaling pathway [GO:0048010],"SIGNAL 1..27; /evidence=""ECO:0000255""",
O76096,reviewed,CYTF_HUMAN,"Cystatin-F (Cystatin-7) (Cystatin-like metastasis-associated protein, CMAP) (Leukocystatin)",CST7,Homo sapiens (Human),145,cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum [GO:0005783]; endosome [GO:0005768]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; late endosome [GO:0005770]; lysosome [GO:0005764]; multivesicular body [GO:0005771],SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:12423348}. Cytoplasm {ECO:0000269|PubMed:12423348}.,16454,FUNCTION: Inhibits papain and cathepsin L but with affinities lower than other cystatins. May play a role in immune regulation through inhibition of a unique target in the hematopoietic system.,TISSUE SPECIFICITY: Primarily expressed in peripheral blood cells and spleen.,immune response [GO:0006955]; inhibition of cysteine-type endopeptidase activity [GO:0097340]; negative regulation of microglial cell activation [GO:1903979]; negative regulation of peptidase activity [GO:0010466]; positive regulation of myelination [GO:0031643],"SIGNAL 1..19; /evidence=""ECO:0000255, ECO:0007744|PubMed:25944712""",
O94769,reviewed,ECM2_HUMAN,Extracellular matrix protein 2 (Matrix glycoprotein SC1/ECM2),ECM2,Homo sapiens (Human),699,extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; interstitial matrix [GO:0005614],"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:Q5FW85}.",79789,FUNCTION: Promotes matrix assembly and cell adhesiveness. {ECO:0000250|UniProtKB:Q5FW85}.,"TISSUE SPECIFICITY: Expressed predominantly in adipose tissue as well as female-specific organs such as mammary gland, ovary, and uterus. {ECO:0000269|PubMed:9790758}.",cell-matrix adhesion [GO:0007160]; extracellular matrix organization [GO:0030198]; positive regulation of cell-substrate adhesion [GO:0010811],"SIGNAL 1..20; /evidence=""ECO:0000255""",
O94813,reviewed,SLIT2_HUMAN,"Slit homolog 2 protein, Slit-2 [Cleaved into: Slit homolog 2 protein N-product; Slit homolog 2 protein C-product ]",SLIT2 SLIL3,Homo sapiens (Human),1529,cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane [GO:0016020],SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10102268}. Note=The C-terminal cleavage protein is more diffusible than the larger N-terminal protein that is more tightly cell associated.,169870,"FUNCTION: Thought to act as molecular guidance cue in cellular migration, and function appears to be mediated by interaction with roundabout homolog receptors. During neural development involved in axonal navigation at the ventral midline of the neural tube and projection of axons to different regions. SLIT1 and SLIT2 seem to be essential for midline guidance in the forebrain by acting as repulsive signal preventing inappropriate midline crossing by axons projecting from the olfactory bulb. In spinal cord development may play a role in guiding commissural axons once they reached the floor plate by modulating the response to netrin. In vitro, silences the attractive effect of NTN1 but not its growth-stimulatory effect and silencing requires the formation of a ROBO1-DCC complex. May be implicated in spinal cord midline post-crossing axon repulsion. In vitro, only commissural axons that crossed the midline responded to SLIT2. In the developing visual system appears to function as repellent for retinal ganglion axons by providing a repulsion that directs these axons along their appropriate paths prior to, and after passage through, the optic chiasm. In vitro, collapses and repels retinal ganglion cell growth cones. Seems to play a role in branching and arborization of CNS sensory axons, and in neuronal cell migration. In vitro, Slit homolog 2 protein N-product, but not Slit homolog 2 protein C-product, repels olfactory bulb (OB) but not dorsal root ganglia (DRG) axons, induces OB growth cones collapse and induces branching of DRG axons. Seems to be involved in regulating leukocyte migration. {ECO:0000269|PubMed:10102268, ECO:0000269|PubMed:10864954, ECO:0000269|PubMed:10975526, ECO:0000269|PubMed:11239147, ECO:0000269|PubMed:11309622, ECO:0000269|PubMed:11404413}.","TISSUE SPECIFICITY: Fetal lung and kidney, and adult spinal cord. Weak expression in adult adrenal gland, thyroid, trachea and other tissues examined. {ECO:0000269|PubMed:10349621, ECO:0000269|PubMed:9813312}.",aortic valve morphogenesis [GO:0003180]; apoptotic process involved in luteolysis [GO:0061364]; axon extension involved in axon guidance [GO:0048846]; axon guidance [GO:0007411]; branching morphogenesis of an epithelial tube [GO:0048754]; cell migration involved in sprouting angiogenesis [GO:0002042]; cellular response to heparin [GO:0071504]; cellular response to hormone stimulus [GO:0032870]; chemorepulsion involved in postnatal olfactory bulb interneuron migration [GO:0021836]; corticospinal neuron axon guidance through spinal cord [GO:0021972]; induction of negative chemotaxis [GO:0050929]; motor neuron axon guidance [GO:0008045]; negative chemotaxis [GO:0050919]; negative regulation of actin filament polymerization [GO:0030837]; negative regulation of cell growth [GO:0030308]; negative regulation of cell migration [GO:0030336]; negative regulation of cellular response to growth factor stimulus [GO:0090288]; negative regulation of chemokine-mediated signaling pathway [GO:0070100]; negative regulation of endothelial cell migration [GO:0010596]; negative regulation of lamellipodium assembly [GO:0010593]; negative regulation of leukocyte chemotaxis [GO:0002689]; negative regulation of monocyte chemotaxis [GO:0090027]; negative regulation of mononuclear cell migration [GO:0071676]; negative regulation of neutrophil chemotaxis [GO:0090024]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of retinal ganglion cell axon guidance [GO:0090260]; negative regulation of small GTPase mediated signal transduction [GO:0051058]; negative regulation of smooth muscle cell chemotaxis [GO:0071672]; negative regulation of smooth muscle cell migration [GO:0014912]; negative regulation of vascular permeability [GO:0043116]; positive regulation of apoptotic process [GO:0043065]; positive regulation of axonogenesis [GO:0050772]; pulmonary valve morphogenesis [GO:0003184]; response to cortisol [GO:0051414]; retinal ganglion cell axon guidance [GO:0031290]; Roundabout signaling pathway [GO:0035385]; ureteric bud development [GO:0001657]; ventricular septum morphogenesis [GO:0060412],"SIGNAL 1..30; /evidence=""ECO:0000255""",
O94907,reviewed,DKK1_HUMAN,"Dickkopf-related protein 1, Dickkopf-1, Dkk-1, hDkk-1 (SK)",DKK1 UNQ492/PRO1008,Homo sapiens (Human),266,early endosome membrane [GO:0031901]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886],SUBCELLULAR LOCATION: Secreted.,28672,"FUNCTION: Antagonizes canonical Wnt signaling by inhibiting LRP5/6 interaction with Wnt and by forming a ternary complex with the transmembrane protein KREMEN that promotes internalization of LRP5/6 (PubMed:22000856). DKKs play an important role in vertebrate development, where they locally inhibit Wnt regulated processes such as antero-posterior axial patterning, limb development, somitogenesis and eye formation. In the adult, Dkks are implicated in bone formation and bone disease, cancer and Alzheimer disease (PubMed:17143291). Inhibits the pro-apoptotic function of KREMEN1 in a Wnt-independent manner, and has anti-apoptotic activity (By similarity). {ECO:0000250|UniProtKB:O54908, ECO:0000269|PubMed:22000856, ECO:0000303|PubMed:17143291}.",TISSUE SPECIFICITY: Placenta.,"canonical Wnt signaling pathway [GO:0060070]; cell morphogenesis involved in differentiation [GO:0000904]; embryonic limb morphogenesis [GO:0030326]; endoderm formation [GO:0001706]; face morphogenesis [GO:0060325]; forebrain development [GO:0030900]; hair follicle development [GO:0001942]; learning or memory [GO:0007611]; limb development [GO:0060173]; mesoderm formation [GO:0001707]; motor learning [GO:0061743]; negative regulation of apoptotic process [GO:0043066]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment [GO:1901296]; negative regulation of cardiac muscle cell differentiation [GO:2000726]; negative regulation of mesodermal cell fate specification [GO:0042662]; negative regulation of neuron projection development [GO:0010977]; negative regulation of ossification [GO:0030279]; negative regulation of pathway-restricted SMAD protein phosphorylation [GO:0060394]; negative regulation of peptidyl-serine phosphorylation [GO:0033137]; negative regulation of presynapse assembly [GO:1905607]; negative regulation of protein binding [GO:0032091]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of Wnt signaling pathway [GO:0030178]; negative regulation of Wnt-Frizzled-LRP5/6 complex assembly [GO:1904723]; positive regulation of cell death [GO:0010942]; positive regulation of gene expression [GO:0010628]; positive regulation of heart induction by negative regulation of canonical Wnt signaling pathway [GO:0090082]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of midbrain dopaminergic neuron differentiation [GO:1904958]; positive regulation of neuron death [GO:1901216]; positive regulation of tau-protein kinase activity [GO:1902949]; positive regulation of Wnt signaling pathway, calcium modulating pathway [GO:0045813]; positive regulation of Wnt signaling pathway, planar cell polarity pathway [GO:2000096]; regulation of dopaminergic neuron differentiation [GO:1904338]; regulation of endodermal cell fate specification [GO:0042663]; regulation of receptor internalization [GO:0002090]; regulation of synaptic transmission, glutamatergic [GO:0051966]; response to retinoic acid [GO:0032526]; synapse pruning [GO:0098883]; Wnt signaling pathway involved in somitogenesis [GO:0090244]","SIGNAL 1..31; /evidence=""ECO:0000269|PubMed:15340161""",
O94919,reviewed,ENDD1_HUMAN,"Endonuclease domain-containing 1 protein, EC 3.1.30.-",ENDOD1 KIAA0830,Homo sapiens (Human),500,cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; membrane [GO:0016020],SUBCELLULAR LOCATION: Secreted {ECO:0000305}.,55017,FUNCTION: May act as a DNase and a RNase. Plays a role in the modulation of innate immune signaling through the cGAS-STING pathway by interacting with RNF26. {ECO:0000269|PubMed:32614325}.,,innate immune response [GO:0045087],"SIGNAL 1..21; /evidence=""ECO:0000255""",
O94964,reviewed,SOGA1_HUMAN,"Protein SOGA1 (SOGA family member 1) (Suppressor of glucose by autophagy) (Suppressor of glucose, autophagy-associated protein 1) [Cleaved into: N-terminal form; C-terminal 80 kDa form, 80-kDa SOGA fragment ]",SOGA1 C20orf117 KIAA0889 SOGA,Homo sapiens (Human),1423,extracellular exosome [GO:0070062]; extracellular space [GO:0005615],SUBCELLULAR LOCATION: [C-terminal 80 kDa form]: Secreted {ECO:0000250}. Note=Secreted in primary hepatocyte-conditioned media. {ECO:0000250}.,159760,FUNCTION: Regulates autophagy by playing a role in the reduction of glucose production in an adiponectin- and insulin-dependent manner. {ECO:0000250}.,,insulin receptor signaling pathway [GO:0008286]; negative regulation of gluconeogenesis [GO:0045721]; regulation of autophagy [GO:0010506],,
O95150,reviewed,TNF15_HUMAN,"Tumor necrosis factor ligand superfamily member 15 (TNF ligand-related molecule 1) (Vascular endothelial cell growth inhibitor) [Cleaved into: Tumor necrosis factor ligand superfamily member 15, membrane form; Tumor necrosis factor ligand superfamily member 15, secreted form ]",TNFSF15 TL1 VEGI,Homo sapiens (Human),251,extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Membrane {ECO:0000305|PubMed:11911831, ECO:0000305|PubMed:11923219}; Single-pass type II membrane protein {ECO:0000305|PubMed:11911831, ECO:0000305|PubMed:11923219}.; SUBCELLULAR LOCATION: [Tumor necrosis factor ligand superfamily member 15, secreted form]: Secreted.",28087,"FUNCTION: Receptor for TNFRSF25 and TNFRSF6B. Mediates activation of NF-kappa-B. Inhibits vascular endothelial growth and angiogenesis (in vitro). Promotes activation of caspases and apoptosis. {ECO:0000269|PubMed:10597252, ECO:0000269|PubMed:11911831, ECO:0000269|PubMed:11923219, ECO:0000269|PubMed:9872942}.","TISSUE SPECIFICITY: Specifically expressed in endothelial cells. Detected in monocytes, placenta, lung, liver, kidney, skeletal muscle, pancreas, spleen, prostate, small intestine and colon. {ECO:0000269|PubMed:11911831, ECO:0000269|PubMed:11923219, ECO:0000269|PubMed:9434163, ECO:0000269|PubMed:9872942}.",activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; activation of NF-kappaB-inducing kinase activity [GO:0007250]; apoptotic process [GO:0006915]; immune response [GO:0006955]; signal transduction [GO:0007165],,
O95388,reviewed,CCN4_HUMAN,"CCN family member 4 (WNT1-inducible-signaling pathway protein 1, WISP-1) (Wnt-1-induced secreted protein)",CCN4 WISP1,Homo sapiens (Human),367,cytosol [GO:0005829]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615],SUBCELLULAR LOCATION: Secreted.,40331,"FUNCTION: Downstream regulator in the Wnt/Frizzled-signaling pathway. Associated with cell survival. Attenuates p53-mediated apoptosis in response to DNA damage through activation of AKT kinase. Up-regulates the anti-apoptotic Bcl-X(L) protein. Adheres to skin and melanoma fibroblasts. In vitro binding to skin fibroblasts occurs through the proteoglycans, decorin and biglycan. {ECO:0000269|PubMed:10716946, ECO:0000269|PubMed:11782444}.","TISSUE SPECIFICITY: Expressed in heart, kidney, lung, pancreas, placenta, ovary, small intestine and spleen. Isoform 2 is expressed predominantly in scirrhous gastric carcinoma and, weakly in placenta. Overexpression is associated with several cancers including breast cancer and colon tumors. Isoform 2 is overexpressed in scirrhous gastric carcinoma.",bone development [GO:0060348]; cell adhesion [GO:0007155]; cell-cell signaling [GO:0007267]; glucose homeostasis [GO:0042593]; negative regulation of cell death [GO:0060548]; negative regulation of chondrocyte differentiation [GO:0032331]; negative regulation of fat cell differentiation [GO:0045599]; osteoblast differentiation [GO:0001649]; osteoclast differentiation [GO:0030316]; positive regulation of inflammatory response [GO:0050729]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of smooth muscle cell migration [GO:0014911]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of Wnt signaling pathway [GO:0030177]; positive regulation of wound healing [GO:0090303]; regulation of cytokine production [GO:0001817]; signal transduction [GO:0007165]; Wnt signaling pathway [GO:0016055],"SIGNAL 1..22; /evidence=""ECO:0000255""",
