Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (cellular component),Subcellular location [CC],Function [CC],Mass,Tissue specificity,Gene Ontology (biological process),Signal peptide,Transit peptide
P21460,reviewed,CYTC_MOUSE,Cystatin-C (Cystatin-3),Cst3,Mus musculus (Mouse),140,axon [GO:0030424]; basement membrane [GO:0005604]; cell projection [GO:0042995]; collagen-containing extracellular matrix [GO:0062023]; contractile fiber [GO:0043292]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; lysosome [GO:0005764]; multivesicular body [GO:0005771]; neuronal cell body [GO:0043025]; nuclear membrane [GO:0031965]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; vesicle [GO:0031982],SUBCELLULAR LOCATION: Secreted {ECO:0000250}.,"FUNCTION: As an inhibitor of cysteine proteinases, this protein is thought to serve an important physiological role as a local regulator of this enzyme activity.",15531,,negative regulation of cell death [GO:0060548]; negative regulation of cysteine-type endopeptidase activity [GO:2000117]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA replication [GO:0045740]; regulation of programmed cell death [GO:0043067]; response to oxidative stress [GO:0006979],SIGNAL 1..20,
P21552,reviewed,WNT2_MOUSE,"Protein Wnt-2 (INT-1-related protein, IRP)",Wnt2 Irp Wnt-2,Mus musculus (Mouse),360,collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular space [GO:0005615]; extrinsic component of external side of plasma membrane [GO:0031232],"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:P09544}. Secreted {ECO:0000250|UniProtKB:P09544}.","FUNCTION: Ligand for members of the frizzled family of seven transmembrane receptors. Functions in the canonical Wnt/beta-catenin signaling pathway (PubMed:19686689). Functions as upstream regulator of FGF10 expression (PubMed:19686689). Plays an important role in embryonic lung development (PubMed:19686689). May contribute to embryonic brain development by regulating the proliferation of dopaminergic precursors and neurons (PubMed:20018874). {ECO:0000269|PubMed:19686689, ECO:0000305, ECO:0000305|PubMed:20018874}.",40482,"TISSUE SPECIFICITY: In embryos in the developing allantois, pericardium heart, and ventral-lateral mesoderm; in adults in lung, brain, heart and placenta.",atrial cardiac muscle tissue morphogenesis [GO:0055009]; canonical Wnt signaling pathway [GO:0060070]; canonical Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation [GO:1904954]; cardiac epithelial to mesenchymal transition [GO:0060317]; cardiac muscle cell proliferation [GO:0060038]; cell fate commitment [GO:0045165]; cell proliferation in midbrain [GO:0033278]; cell-cell signaling [GO:0007267]; cellular response to transforming growth factor beta stimulus [GO:0071560]; epithelial cell proliferation [GO:0050673]; epithelial cell proliferation involved in lung morphogenesis [GO:0060502]; labyrinthine layer blood vessel development [GO:0060716]; lung induction [GO:0060492]; mammary gland epithelium development [GO:0061180]; mesenchymal cell proliferation [GO:0010463]; midbrain dopaminergic neuron differentiation [GO:1904948]; neuron differentiation [GO:0030182]; positive regulation of cardiac muscle cell proliferation [GO:0060045]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of epithelial cell proliferation involved in lung morphogenesis [GO:0060501]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of mesenchymal cell proliferation [GO:0002053]; positive regulation of neurogenesis [GO:0050769]; positive regulation of transcription by RNA polymerase II [GO:0045944]; Wnt signaling pathway [GO:0016055],"SIGNAL 1..25; /evidence=""ECO:0000255""",
P21570,reviewed,ANGI_MOUSE,"Angiogenin, EC 3.1.27.- (Angiogenin-1) (Ribonuclease 5, RNase 5)",Ang Ang1 Rnase5 Rnase5a,Mus musculus (Mouse),145,actin cytoskeleton [GO:0015629]; angiogenin-PRI complex [GO:0032311]; basement membrane [GO:0005604]; chromosome [GO:0005694]; cytoplasmic vesicle [GO:0031410]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; growth cone [GO:0030426]; neuronal cell body [GO:0043025]; nucleolus [GO:0005730]; nucleus [GO:0005634],"SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle lumen {ECO:0000250|UniProtKB:Q3TMQ6}. Secreted {ECO:0000250|UniProtKB:P10152}. Nucleus, nucleolus {ECO:0000250|UniProtKB:P03950}. Note=Rapidly endocytosed by target cells and translocated to the nucleus where it accumulates in the nucleolus and binds to DNA (By similarity). {ECO:0000250|UniProtKB:P03950}.","FUNCTION: Binds to actin on the surface of endothelial cells; once bound, angiogenin is endocytosed and translocated to the nucleus. Stimulates ribosomal RNA synthesis including that containing the initiation site sequences of 45S rRNA. Cleaves tRNA within anticodon loops to produce tRNA-derived stress-induced fragments (tiRNAs) which inhibit protein synthesis and triggers the assembly of stress granules (SGs). Angiogenin induces vascularization of normal and malignant tissues. Angiogenic activity is regulated by interaction with RNH1 in vivo (By similarity). {ECO:0000250, ECO:0000269|PubMed:19114040}.",16228,,actin filament polymerization [GO:0030041]; activation of phospholipase A2 activity [GO:0032431]; activation of phospholipase C activity [GO:0007202]; activation of protein kinase B activity [GO:0032148]; angiogenesis [GO:0001525]; antibacterial humoral response [GO:0019731]; antifungal humoral response [GO:0019732]; antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; cell differentiation [GO:0030154]; cell migration [GO:0016477]; central nervous system development [GO:0007417]; defense response to Gram-positive bacterium [GO:0050830]; diacylglycerol biosynthetic process [GO:0006651]; innate immune response [GO:0045087]; negative regulation of smooth muscle cell proliferation [GO:0048662]; negative regulation of translation [GO:0017148]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of phosphorylation [GO:0042327]; positive regulation of protein secretion [GO:0050714]; response to hormone [GO:0009725]; response to hypoxia [GO:0001666]; response to yeast [GO:0001878]; rRNA transcription [GO:0009303],SIGNAL 1..24,
P21614,reviewed,VTDB_MOUSE,"Vitamin D-binding protein, DBP, VDB (Gc-globulin) (Group-specific component)",Gc,Mus musculus (Mouse),476,axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; perinuclear region of cytoplasm [GO:0048471],SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10052453}.,"FUNCTION: Involved in vitamin D transport and storage, scavenging of extracellular G-actin, enhancement of the chemotactic activity of C5 alpha for neutrophils in inflammation and macrophage activation. {ECO:0000250|UniProtKB:P02774}.",53600,,vitamin D metabolic process [GO:0042359],"SIGNAL 1..16; /evidence=""ECO:0000269|PubMed:10052453, ECO:0000269|PubMed:3243374""",
P21658,reviewed,FGF6_MOUSE,"Fibroblast growth factor 6, FGF-6 (Heparin secretory-transforming protein 2, HST-2, HSTF-2) (Heparin-binding growth factor 6, HBGF-6)",Fgf6 Fgf-6 Hstf2,Mus musculus (Mouse),208,cytoplasm [GO:0005737]; extracellular space [GO:0005615]; sarcolemma [GO:0042383],"SUBCELLULAR LOCATION: Secreted, extracellular space.","FUNCTION: Plays an important role in the regulation of cell proliferation, cell differentiation, angiogenesis and myogenesis, and is required for normal muscle regeneration. {ECO:0000250}.",22798,"TISSUE SPECIFICITY: Embryos, adult muscles and adult testis.",angiogenesis [GO:0001525]; animal organ morphogenesis [GO:0009887]; cartilage condensation [GO:0001502]; cell differentiation [GO:0030154]; fibroblast growth factor receptor signaling pathway [GO:0008543]; myoblast differentiation [GO:0045445]; positive regulation of cell division [GO:0051781]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of gene expression [GO:0010628]; positive regulation of protein phosphorylation [GO:0001934]; regulation of cell migration [GO:0030334],"SIGNAL 1..37; /evidence=""ECO:0000255""",
P21661,reviewed,NEC2_MOUSE,"Neuroendocrine convertase 2, NEC 2, EC 3.4.21.94 (KEX2-like endoprotease 2) (Prohormone convertase 2) (Proprotein convertase 2, PC2)",Pcsk2 Nec-2 Nec2,Mus musculus (Mouse),637,dendrite [GO:0030425]; endoplasmic reticulum lumen [GO:0005788]; extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; perikaryon [GO:0043204]; secretory granule [GO:0030141]; secretory granule lumen [GO:0034774]; transport vesicle [GO:0030133],"SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle {ECO:0000250|UniProtKB:P16519}. Secreted {ECO:0000250|UniProtKB:P16519}. Note=Localized in the secretion granules. {ECO:0000250|UniProtKB:P16519}.",FUNCTION: Involved in the processing of hormone and other protein precursors at sites comprised of pairs of basic amino acid residues. Responsible for the release of glucagon from proglucagon in pancreatic A cells (By similarity). {ECO:0000250|UniProtKB:P16519}.,70785,,enkephalin processing [GO:0034230]; insulin processing [GO:0030070]; islet amyloid polypeptide processing [GO:0034231]; nervous system development [GO:0007399]; peptide hormone processing [GO:0016486]; protein autoprocessing [GO:0016540]; protein processing [GO:0016485]; proteolysis [GO:0006508],"SIGNAL 1..24; /evidence=""ECO:0000255""",
P21836,reviewed,ACES_MOUSE,"Acetylcholinesterase, AChE, EC 3.1.1.7",Ache,Mus musculus (Mouse),614,anchored component of membrane [GO:0031225]; anchoring junction [GO:0070161]; axon [GO:0030424]; basement membrane [GO:0005604]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; neuromuscular junction [GO:0031594]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; nuclear envelope [GO:0005635]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; presynaptic membrane [GO:0042734]; rough endoplasmic reticulum [GO:0005791]; synapse [GO:0045202]; synaptic cleft [GO:0043083],"SUBCELLULAR LOCATION: Synapse. Secreted. Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform H]: Cell membrane; Lipid-anchor, GPI-anchor; Extracellular side.",FUNCTION: Terminates signal transduction at the neuromuscular junction by rapid hydrolysis of the acetylcholine released into the synaptic cleft.,68169,TISSUE SPECIFICITY: Predominates in most expressing tissues except erythrocytes where a glycophospholipid-attached form of ACHE predominates.,acetylcholine catabolic process [GO:0006581]; acetylcholine metabolic process [GO:0008291]; acetylcholine receptor signaling pathway [GO:0095500]; cell adhesion [GO:0007155]; choline metabolic process [GO:0019695]; neuron death [GO:0070997]; osteoblast development [GO:0002076]; positive regulation of axonogenesis [GO:0050772]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of dendrite morphogenesis [GO:0050775]; receptor internalization [GO:0031623]; regulation of receptor recycling [GO:0001919]; response to antibiotic [GO:0046677]; response to insulin [GO:0032868]; retina development in camera-type eye [GO:0060041]; synapse assembly [GO:0007416],SIGNAL 1..31,
P21844,reviewed,CMA1_MOUSE,"Chymase, EC 3.4.21.39 (Alpha-chymase) (Mast cell chymase 1) (Mast cell protease 5, mMCP-5) (Mast cell protease I)",Cma1 Mcpt5,Mus musculus (Mouse),247,cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; secretory granule [GO:0030141],SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:1527387}. Cytoplasmic granule {ECO:0000269|PubMed:1527387}. Note=Secretory granules.,"FUNCTION: Major secreted protease of mast cells with suspected roles in vasoactive peptide generation, extracellular matrix degradation, and regulation of gland secretion.",27586,TISSUE SPECIFICITY: Mast cells.,basement membrane disassembly [GO:0034769]; cytokine precursor processing [GO:0140447]; extracellular matrix disassembly [GO:0022617]; positive regulation of angiogenesis [GO:0045766]; protein catabolic process [GO:0030163]; protein processing [GO:0016485]; regulation of inflammatory response [GO:0050727],"SIGNAL 1..19; /evidence=""ECO:0000255""",
P21845,reviewed,TRYB2_MOUSE,"Tryptase beta-2, Tryptase-2, EC 3.4.21.59 (Mast cell protease 6, mMCP-6)",Tpsb2 Mcpt6,Mus musculus (Mouse),276,extracellular region [GO:0005576]; extracellular space [GO:0005615]; peptidase complex [GO:1905368],SUBCELLULAR LOCATION: Secreted {ECO:0000250}. Note=Released from the secretory granules upon mast cell activation. {ECO:0000250}.,FUNCTION: Tryptase is the major neutral protease present in mast cells and is secreted upon the coupled activation-degranulation response of this cell type. Plays a role in innate immunity. {ECO:0000269|PubMed:17456473}.,30927,"TISSUE SPECIFICITY: During embryogenesis, detected primarily in skin. {ECO:0000269|PubMed:16777228}.",extracellular matrix disassembly [GO:0022617]; inflammatory response [GO:0006954]; proteolysis [GO:0006508],SIGNAL 1..21,
P21956,reviewed,MFGM_MOUSE,"Lactadherin (MFGM) (Milk fat globule-EGF factor 8, MFG-E8) (SED1) (Sperm surface protein SP47, MP47)",Mfge8,Mus musculus (Mouse),463,acrosomal membrane [GO:0002080]; collagen-containing extracellular matrix [GO:0062023]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; extrinsic component of plasma membrane [GO:0019897],"SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:2122462}; Peripheral membrane protein {ECO:0000269|PubMed:2122462}. Secreted {ECO:0000269|PubMed:2122462}. Cytoplasmic vesicle, secretory vesicle, acrosome membrane {ECO:0000250|UniProtKB:P79385}; Peripheral membrane protein {ECO:0000250|UniProtKB:P79385}. Note=Located in the acrosomal region of zona-pellucida bound sperm. {ECO:0000250|UniProtKB:P79385}.","FUNCTION: Contributes to phagocytic removal of apoptotic cells in many tissues. Specific ligand for the alpha-v/beta-3 and alpha-v/beta-5 receptors. Also binds to phosphatidylserine-enriched cell surfaces in a receptor-independent manner. Zona pellucida-binding protein which may play a role in gamete interaction (By similarity). Plays an important role in the maintenance of intestinal epithelial homeostasis and the promotion of mucosal healing. Promotes VEGF-dependent neovascularization. {ECO:0000250, ECO:0000269|PubMed:15834428, ECO:0000269|PubMed:18008006}.",51241,"TISSUE SPECIFICITY: Mammary epithelial cell surfaces and spermatozoan. Isoform 2 is present in brain, heart, kidney and spleen and at low levels in lung, liver, small intestine and testis. {ECO:0000269|PubMed:2122462, ECO:0000269|PubMed:9920772}.","angiogenesis [GO:0001525]; apoptotic cell clearance [GO:0043277]; cell adhesion [GO:0007155]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of phagocytosis [GO:0050766]; single fertilization [GO:0007338]","SIGNAL 1..22; /evidence=""ECO:0000269|PubMed:2122462""",
P21981,reviewed,TGM2_MOUSE,"Protein-glutamine gamma-glutamyltransferase 2, EC 2.3.2.13 (Isopeptidase TGM2, EC 3.4.-.-) (Protein-glutamine deamidase TGM2, EC 3.5.1.44) (Protein-glutamine dopaminyltransferase TGM2, EC 2.3.1.-) (Protein-glutamine histaminyltransferase TGM2, EC 2.3.1.-) (Protein-glutamine noradrenalinyltransferase TGM2, EC 2.3.1.-) (Protein-glutamine serotonyltransferase TGM2, EC 2.3.1.-) (Tissue transglutaminase, tTG) (Transglutaminase II, TGase II) (Transglutaminase-2, TG2, TGase-2, TGase2)",Tgm2,Mus musculus (Mouse),686,chromatin [GO:0000785]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; intrinsic component of plasma membrane [GO:0031226]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:19644512}. Nucleus {ECO:0000250|UniProtKB:P21980}. Chromosome {ECO:0000250|UniProtKB:P21980}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:20489165}. Cell membrane {ECO:0000250|UniProtKB:Q9WVJ6}. Mitochondrion {ECO:0000269|PubMed:19644512}. Note=Mainly localizes to the cytosol. Present at much lower level in the nucleus and chromatin. Also secreted via a non-classical secretion pathway to the extracellular matrix. {ECO:0000250|UniProtKB:P21980}.","FUNCTION: Calcium-dependent acyltransferase that catalyzes the formation of covalent bonds between peptide-bound glutamine and various primary amines, such as gamma-amino group of peptide-bound lysine, or mono- and polyamines, thereby producing cross-linked or aminated proteins, respectively (By similarity). Involved in many biological processes, such as bone development, angiogenesis, wound healing, cellular differentiation, chromatin modification and apoptosis (By similarity). Acts as a protein-glutamine gamma-glutamyltransferase by mediating the cross-linking of proteins, such as ACO2, HSPB6, FN1, HMGB1, RAP1GDS1, SLC25A4/ANT1, SPP1 and WDR54 (PubMed:11274171, PubMed:11113189, PubMed:20489165). Under physiological conditions, the protein cross-linking activity is inhibited by GTP; inhibition is relieved by Ca(2+) in response to various stresses (By similarity). When secreted, catalyzes cross-linking of proteins of the extracellular matrix, such as FN1 and SPP1 resulting in the formation of scaffolds (By similarity). Plays a key role during apoptosis, both by (1) promoting the cross-linking of cytoskeletal proteins resulting in condensation of the cytoplasm, and by (2) mediating cross-linking proteins of the extracellular matrix, resulting in the irreversible formation of scaffolds that stabilize the integrity of the dying cells before their clearance by phagocytosis, thereby preventing the leakage of harmful intracellular components (PubMed:12810961, PubMed:15905580). In addition to protein cross-linking, can use different monoamine substrates to catalyze a vast array of protein post-translational modifications: mediates aminylation of serotonin, dopamine, noradrenaline or histamine into glutamine residues of target proteins to generate protein serotonylation, dopaminylation, noradrenalinylation or histaminylation, respectively (PubMed:32116663). Mediates protein serotonylation of small GTPases during activation and aggregation of platelets, leading to constitutive activation of these GTPases (By similarity). Plays a key role in chromatin organization by mediating serotonylation and dopaminylation of histone H3 (By similarity). Catalyzes serotonylation of 'Gln-5' of histone H3 (H3Q5ser) during serotonergic neuron differentiation, thereby facilitating transcription (By similarity). Acts as a mediator of neurotransmission-independent role of nuclear dopamine in ventral tegmental area (VTA) neurons: catalyzes dopaminylation of 'Gln-5' of histone H3 (H3Q5dop), thereby regulating relapse-related transcriptional plasticity in the reward system (By similarity). Regulates vein remodeling by mediating serotonylation and subsequent inactivation of ATP2A2/SERCA2 (PubMed:32116663). Also acts as a protein deamidase by mediating the side chain deamidation of specific glutamine residues of proteins to glutamate (By similarity). Catalyzes specific deamidation of protein gliadin, a component of wheat gluten in the diet (By similarity). May also act as an isopeptidase cleaving the previously formed cross-links (By similarity). Also able to participate in signaling pathways independently of its acyltransferase activity: acts as a signal transducer in alpha-1 adrenergic receptor-mediated stimulation of phospholipase C-delta (PLCD) activity and is required for coupling alpha-1 adrenergic agonists to the stimulation of phosphoinositide lipid metabolism (PubMed:11274171). {ECO:0000250|UniProtKB:P08587, ECO:0000250|UniProtKB:P21980, ECO:0000269|PubMed:11113189, ECO:0000269|PubMed:11274171, ECO:0000269|PubMed:12810961, ECO:0000269|PubMed:15905580, ECO:0000269|PubMed:20489165, ECO:0000269|PubMed:32116663}.",77061,,apoptotic cell clearance [GO:0043277]; bone development [GO:0060348]; branching involved in salivary gland morphogenesis [GO:0060445]; cellular response to cocaine [GO:0071314]; cellular response to dopamine [GO:1903351]; cellular response to serotonin [GO:1904015]; G protein-coupled receptor signaling pathway [GO:0007186]; negative regulation of endoplasmic reticulum calcium ion concentration [GO:0032471]; peptide cross-linking [GO:0018149]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell adhesion [GO:0045785]; positive regulation of GTPase activity [GO:0043547]; positive regulation of mitochondrial calcium ion concentration [GO:0051561]; positive regulation of neurogenesis [GO:0050769]; positive regulation of small GTPase mediated signal transduction [GO:0051057]; protein deamination [GO:0018277]; protein homooligomerization [GO:0051260]; proteolysis [GO:0006508]; regulation of apoptotic cell clearance [GO:2000425]; regulation of apoptotic process [GO:0042981]; salivary gland cavitation [GO:0060662],,
P22005,reviewed,PENK_MOUSE,"Proenkephalin-A [Cleaved into: Synenkephalin; Met-enkephalin (Opioid growth factor, OGF); PENK(114-133); PENK(143-184); Met-enkephalin-Arg-Ser-Leu; Leu-enkephalin; PENK(238-259); Met-enkephalin-Arg-Phe ]",Penk Penk1,Mus musculus (Mouse),268,axon [GO:0030424]; axon terminus [GO:0043679]; cell body fiber [GO:0070852]; chromaffin granule lumen [GO:0034466]; dendrite [GO:0030425]; extracellular region [GO:0005576]; neuronal cell body [GO:0043025]; neuronal dense core vesicle lumen [GO:0099013]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; symmetric synapse [GO:0032280]; synaptic vesicle lumen [GO:0034592],"SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, chromaffin granule lumen {ECO:0000250|UniProtKB:P01211}. Secreted {ECO:0000250|UniProtKB:P01211}.","FUNCTION: [Met-enkephalin]: Neuropeptide that competes with and mimic the effects of opiate drugs. They play a role in a number of physiologic functions, including pain perception and responses to stress. {ECO:0000250|UniProtKB:P01210}.; FUNCTION: [Leu-enkephalin]: Neuropeptide that competes with and mimic the effects of opiate drugs. They play a role in a number of physiologic functions, including pain perception and responses to stress. {ECO:0000250|UniProtKB:P01210}.; FUNCTION: [Met-enkephalin-Arg-Phe]: Met-enkephalin-Arg-Phe neuropeptide acts as a strong ligand of Mu-type opioid receptor OPRM1 (PubMed:6933569, PubMed:35201898). Met-enkephalin-Arg-Phe-binding to OPRM1 in the nucleus accumbens of the brain increases activation of OPRM1, leading to long-term synaptic depression of glutamate release (PubMed:35201898). {ECO:0000269|PubMed:35201898, ECO:0000269|PubMed:6933569}.; FUNCTION: [PENK(114-133)]: Increases glutamate release in the striatum and decreases GABA concentration in the striatum. {ECO:0000250|UniProtKB:P04094}.; FUNCTION: [PENK(238-259)]: Increases glutamate release in the striatum. {ECO:0000250|UniProtKB:P04094}.",31004,TISSUE SPECIFICITY: Spermatogenic and somatic cells. {ECO:0000269|PubMed:2355920}.,"aggressive behavior [GO:0002118]; aging [GO:0007568]; behavioral fear response [GO:0001662]; cellular response to cAMP [GO:0071320]; cellular response to oxidative stress [GO:0034599]; cellular response to transforming growth factor beta stimulus [GO:0071560]; cellular response to virus [GO:0098586]; cellular response to vitamin D [GO:0071305]; chemical synaptic transmission [GO:0007268]; general adaptation syndrome, behavioral process [GO:0051867]; glial cell proliferation [GO:0014009]; locomotory behavior [GO:0007626]; locomotory exploration behavior [GO:0035641]; neuropeptide signaling pathway [GO:0007218]; osteoblast differentiation [GO:0001649]; positive regulation of behavioral fear response [GO:2000987]; regulation of long-term synaptic depression [GO:1900452]; response to bacterium [GO:0009617]; response to calcium ion [GO:0051592]; response to epinephrine [GO:0071871]; response to estradiol [GO:0032355]; response to ethanol [GO:0045471]; response to hypoxia [GO:0001666]; response to lipopolysaccharide [GO:0032496]; response to morphine [GO:0043278]; response to nicotine [GO:0035094]; response to radiation [GO:0009314]; response to toxic substance [GO:0009636]; sensory perception [GO:0007600]; sensory perception of pain [GO:0019233]; startle response [GO:0001964]; synaptic signaling via neuropeptide [GO:0099538]",SIGNAL 1..24,
P22272,reviewed,IL6RA_MOUSE,"Interleukin-6 receptor subunit alpha, IL-6 receptor subunit alpha, IL-6R subunit alpha, IL-6R-alpha, IL-6RA (IL-6R 1) (CD antigen CD126) [Cleaved into: Soluble interleukin-6 receptor subunit alpha, sIL6R ]",Il6ra Il6r,Mus musculus (Mouse),460,apical plasma membrane [GO:0016324]; ciliary neurotrophic factor receptor complex [GO:0070110]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; interleukin-6 receptor complex [GO:0005896]; neuronal cell body membrane [GO:0032809]; plasma membrane [GO:0005886]; receptor complex [GO:0043235],SUBCELLULAR LOCATION: [Interleukin-6 receptor subunit alpha]: Cell membrane {ECO:0000269|PubMed:27893700}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Soluble interleukin-6 receptor subunit alpha]: Secreted {ECO:0000269|PubMed:28402851}.,"FUNCTION: Part of the receptor for interleukin 6. Binds to IL6 with low affinity, but does not transduce a signal. Signal activation necessitate an association with IL6ST. Activation leads to the regulation of the immune response, acute-phase reactions and hematopoiesis. The interaction with membrane-bound IL6R and IL6ST stimulates 'classic signaling', the restricted expression of the IL6R limits classic IL6 signaling to only a few tissues such as the liver and some cells of the immune system. Whereas the binding of IL6 and soluble IL6R to IL6ST stimulates 'trans-signaling'. Alternatively, 'cluster signaling' occurs when membrane-bound IL6:IL6R complexes on transmitter cells activate IL6ST receptors on neighboring receiver cells. {ECO:0000305|PubMed:30995492}.; FUNCTION: [Interleukin-6 receptor subunit alpha]: Signaling via the membrane-bound IL6R is mostly regenerative and anti-inflammatory (Probable). Drives naive CD4(+) T cells to the Th17 lineage, through 'cluster signaling' by dendritic cells (PubMed:27893700). {ECO:0000269|PubMed:27893700, ECO:0000305|PubMed:30995492}.; FUNCTION: [Soluble interleukin-6 receptor subunit alpha]: Soluble form of IL6 receptor (sIL6R) that acts as an agonist of IL6 activity (PubMed:11113088). The IL6:sIL6R complex (hyper-IL6) binds to IL6ST/gp130 on cell surfaces and induces signaling also on cells that do not express membrane-bound IL6R in a process called IL6 'trans-signaling'. sIL6R is causative for the pro-inflammatory properties of IL6 and an important player in the development of chronic inflammatory diseases (By similarity). In complex with IL6, is required for induction of VEGF production (By similarity). Plays a protective role during liver injury, being required for maintenance of tissue regeneration (PubMed:11113088). 'Trans-signaling' in central nervous system regulates energy and glucose homeostasis (PubMed:28402851). {ECO:0000250|UniProtKB:P08887, ECO:0000269|PubMed:11113088, ECO:0000269|PubMed:28402851}.",50455,TISSUE SPECIFICITY: Expressed by dendritic cells. {ECO:0000269|PubMed:27893700}.; TISSUE SPECIFICITY: [Soluble interleukin-6 receptor subunit alpha]: Detected in the cerebrospinal fluid. {ECO:0000269|PubMed:28402851}.,ciliary neurotrophic factor-mediated signaling pathway [GO:0070120]; cytokine-mediated signaling pathway [GO:0019221]; developmental growth [GO:0048589]; endocrine pancreas development [GO:0031018]; interleukin-6-mediated signaling pathway [GO:0070102]; negative regulation of collagen biosynthetic process [GO:0032966]; positive regulation of activation of Janus kinase activity [GO:0010536]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of chemokine production [GO:0032722]; positive regulation of glomerular mesangial cell proliferation [GO:0072126]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of platelet aggregation [GO:1901731]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; response to cytokine [GO:0034097]; T-helper 17 cell lineage commitment [GO:0072540]; vascular endothelial growth factor production [GO:0010573],SIGNAL 1..19,
