Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (cellular component),Subcellular location [CC],Mass,Function [CC],Tissue specificity,Gene Ontology (biological process),Gene Ontology (molecular function),Signal peptide,Transit peptide
Q08297,reviewed,RAD51_MOUSE,DNA repair protein RAD51 homolog 1 (RAD51 homolog A),Rad51 Rad51a Reca,Mus musculus (Mouse),339,"chromatin [GO:0000785]; chromosome [GO:0005694]; chromosome, telomeric region [GO:0000781]; condensed chromosome [GO:0000793]; condensed nuclear chromosome [GO:0000794]; cytoplasm [GO:0005737]; lateral element [GO:0000800]; male germ cell nucleus [GO:0001673]; microtubule organizing center [GO:0005815]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nuclear chromosome [GO:0000228]; nuclear ubiquitin ligase complex [GO:0000152]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; PML body [GO:0016605]; protein-containing complex [GO:0032991]; site of double-strand break [GO:0035861]; synaptonemal complex [GO:0000795]","SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q06609}. Cytoplasm {ECO:0000250|UniProtKB:Q06609}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:Q06609}. Mitochondrion matrix {ECO:0000250|UniProtKB:Q06609}. Chromosome {ECO:0000269|PubMed:30272023, ECO:0000269|PubMed:30746471, ECO:0000269|PubMed:30760716, ECO:0000269|PubMed:30949703, ECO:0000269|PubMed:32463460}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q06609}. Note=Colocalizes with RAD51AP1 and RPA2 to multiple nuclear foci upon induction of DNA damage. DNA damage induces an increase in nuclear levels. Together with FIGNL1, redistributed in discrete nuclear DNA damage-induced foci after ionizing radiation (IR) or camptothecin (CPT) treatment. Accumulated at sites of DNA damage in a SPIDR-dependent manner. Recruited at sites of DNA damage in a MCM9-MCM8-dependent manner. Colocalizes with ERCC5/XPG to nuclear foci in S phase. Recruited to stalled replication forks during replication stress by the TONSL-MMS22L complex, as well as ATAD5 and WDR48 in an ATR-dependent manner. {ECO:0000250|UniProtKB:Q06609}.",36971,"FUNCTION: Plays an important role in homologous strand exchange, a key step in DNA repair through homologous recombination (HR) (PubMed:15834424). Binds to single-stranded DNA in an ATP-dependent manner to form nucleoprotein filaments which are essential for the homology search and strand exchange. Catalyzes the recognition of homology and strand exchange between homologous DNA partners to form a joint molecule between a processed DNA break and the repair template. Recruited to resolve stalled replication forks during replication stress. Part of a PALB2-scaffolded HR complex containing BRCA2 and RAD51C and which is thought to play a role in DNA repair by HR. Plays a role in regulating mitochondrial DNA copy number under conditions of oxidative stress in the presence of RAD51C and XRCC3. Also involved in interstrand cross-link repair (By similarity). {ECO:0000250|UniProtKB:Q06609, ECO:0000269|PubMed:15834424}.",TISSUE SPECIFICITY: Expressed in ovary and testis. Expressed in the brain. {ECO:0000269|PubMed:22305526}.,cellular response to alkaloid [GO:0071312]; cellular response to camptothecin [GO:0072757]; cellular response to cisplatin [GO:0072719]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to gamma radiation [GO:0071480]; cellular response to hydroxyurea [GO:0072711]; cellular response to ionizing radiation [GO:0071479]; chromosome organization involved in meiotic cell cycle [GO:0070192]; DNA recombinase assembly [GO:0000730]; DNA repair [GO:0006281]; DNA unwinding involved in DNA replication [GO:0006268]; double-strand break repair via homologous recombination [GO:0000724]; histone H2A monoubiquitination [GO:0035518]; interstrand cross-link repair [GO:0036297]; meiotic cell cycle [GO:0051321]; mitotic recombination [GO:0006312]; mitotic recombination-dependent replication fork processing [GO:1990426]; positive regulation of DNA ligation [GO:0051106]; protein autoubiquitination [GO:0051865]; reciprocal meiotic recombination [GO:0007131]; regulation of DNA damage checkpoint [GO:2000001]; regulation of double-strand break repair via homologous recombination [GO:0010569]; regulation of protein phosphorylation [GO:0001932]; replication fork processing [GO:0031297]; replication-born double-strand break repair via sister chromatid exchange [GO:1990414]; response to glucoside [GO:1904631]; response to toxic substance [GO:0009636]; response to X-ray [GO:0010165]; response to xenobiotic stimulus [GO:0009410]; strand invasion [GO:0042148]; telomere maintenance via recombination [GO:0000722]; telomere maintenance via telomere lengthening [GO:0010833]; telomere organization [GO:0032200],"ATP binding [GO:0005524]; ATP-dependent activity, acting on DNA [GO:0008094]; ATP-dependent DNA damage sensor activity [GO:0140664]; chromatin binding [GO:0003682]; DNA polymerase binding [GO:0070182]; DNA strand exchange activity [GO:0000150]; double-stranded DNA binding [GO:0003690]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; protein C-terminus binding [GO:0008022]; single-stranded DNA binding [GO:0003697]; single-stranded DNA helicase activity [GO:0017116]",,
Q09LZ8,reviewed,CBPC6_MOUSE,"Cytosolic carboxypeptidase 6, EC 3.4.17.-, EC 3.4.17.24 (ATP/GTP-binding protein-like 4) (Protein deglutamylase CCP6)",Agbl4 Ccp6,Mus musculus (Mouse),540,axon cytoplasm [GO:1904115]; centriole [GO:0005814]; ciliary basal body [GO:0036064]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794],"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:17244818}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000250|UniProtKB:Q5VU57}. Golgi apparatus {ECO:0000250|UniProtKB:Q5VU57}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:Q5VU57}. Note=Colocalizes with gamma-tubulin in the centrioles at interphase and dividing cells and with glutamylated tubulin in basal bodies of ciliated cells. {ECO:0000250|UniProtKB:Q5VU57}.",62210,"FUNCTION: Metallocarboxypeptidase that mediates protein deglutamylation of tubulin and non-tubulin target proteins (PubMed:21074048, PubMed:25103237, PubMed:26829768, PubMed:29593216). Catalyzes the removal of polyglutamate side chains present on the gamma-carboxyl group of glutamate residues within the C-terminal tail of tubulin protein (PubMed:21074048, PubMed:25103237). Specifically cleaves tubulin long-side-chains, while it is not able to remove the branching point glutamate (PubMed:25103237). Also catalyzes the removal of polyglutamate residues from the carboxy-terminus of non-tubulin proteins such as MYLK (PubMed:21074048). Mediates the deglutamylation of nucleotidyltransferase CGAS, leading to CGAS antiviral defense response activation (PubMed:26829768). Involved in KLF4 deglutamylation which promotes KLF4 proteasome-mediated degradation, thereby negatively regulating cell pluripotency maintenance and embryogenesis (PubMed:29593216). {ECO:0000269|PubMed:21074048, ECO:0000269|PubMed:25103237, ECO:0000269|PubMed:26829768, ECO:0000269|PubMed:29593216}.","TISSUE SPECIFICITY: Widely expressed. Expressed abundantly in testis, pituitary and brain and to a lower extent in eye, stomach, adrenal and kidney. In brain, expressed at low level in cerebellum as compared to cortex. {ECO:0000269|PubMed:17244818, ECO:0000269|PubMed:21074048, ECO:0000269|PubMed:25103237}.",anterograde axonal transport of mitochondrion [GO:0098957]; axonal transport [GO:0098930]; C-terminal protein deglutamylation [GO:0035609]; central nervous system neuron development [GO:0021954]; defense response to virus [GO:0051607]; negative regulation of cell population proliferation [GO:0008285]; positive regulation of ubiquitin-dependent protein catabolic process [GO:2000060]; protein deglutamylation [GO:0035608]; protein side chain deglutamylation [GO:0035610]; proteolysis [GO:0006508]; regulation of blastocyst development [GO:0120222]; retrograde axonal transport of mitochondrion [GO:0098958],metallocarboxypeptidase activity [GO:0004181]; tubulin binding [GO:0015631]; zinc ion binding [GO:0008270],,
Q09M02,reviewed,CBPC5_MOUSE,"Cytosolic carboxypeptidase-like protein 5, EC 3.4.17.-, EC 3.4.17.24 (ATP/GTP-binding protein-like 5) (Protein deglutamylase CCP5)",Agbl5 Ccp5,Mus musculus (Mouse),886,cytoplasm [GO:0005737]; cytosol [GO:0005829]; intercellular bridge [GO:0045171]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; nucleus [GO:0005634],"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:17244818, ECO:0000269|PubMed:24022482}. Nucleus {ECO:0000269|PubMed:17244818}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q8NDL9}. Midbody {ECO:0000250|UniProtKB:Q8NDL9}. Note=Colocalizes with alpha-tubulin in the mitotic spindle and with midbody microtubules in the intercellular bridges formed during cytokinesis (By similarity). Mainly cytoplasmic. Slight accumulation in the nucleus is observed (PubMed:17244818). {ECO:0000250|UniProtKB:Q8NDL9, ECO:0000269|PubMed:17244818}.",97607,"FUNCTION: Metallocarboxypeptidase that mediates deglutamylation of tubulin and non-tubulin target proteins (PubMed:21074048, PubMed:20519502, PubMed:24022482, PubMed:26829768). Catalyzes the removal of polyglutamate side chains present on the gamma-carboxyl group of glutamate residues within the C-terminal tail of alpha- and beta-tubulin (PubMed:21074048, PubMed:20519502, PubMed:24022482). Cleaves alpha- and gamma-linked polyglutamate tubulin side-chain, as well as the branching point glutamate (PubMed:21074048, PubMed:24022482). Also catalyzes the removal of alpha-linked glutamate residues from the carboxy-terminus of alpha-tubulin (PubMed:24022482). Mediates deglutamylation of nucleotidyltransferase CGAS, leading to CGAS antiviral defense response activation (PubMed:26829768). {ECO:0000269|PubMed:20519502, ECO:0000269|PubMed:21074048, ECO:0000269|PubMed:24022482, ECO:0000269|PubMed:26829768}.","TISSUE SPECIFICITY: Widely expressed. Highly expressed in testis, and moderately in pituitary, brain, eye and kidney. {ECO:0000269|PubMed:17244818, ECO:0000269|PubMed:25103237}.",C-terminal protein deglutamylation [GO:0035609]; defense response to virus [GO:0051607]; protein branching point deglutamylation [GO:0035611]; protein deglutamylation [GO:0035608]; protein side chain deglutamylation [GO:0035610]; proteolysis [GO:0006508],metallocarboxypeptidase activity [GO:0004181]; tubulin binding [GO:0015631]; zinc ion binding [GO:0008270],,
Q0HA38,reviewed,TT21B_MOUSE,"Tetratricopeptide repeat protein 21B, TPR repeat protein 21B (Intraflagellar transport 139 homolog) (Tetratricopeptide repeat-containing hedgehog modulator 1)",Ttc21b Ift139 Kiaa1992 Thm1,Mus musculus (Mouse),1315,cilium [GO:0005929]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; intraciliary transport particle A [GO:0030991],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000269|PubMed:18327258}. Note=In polarized epithelial inner medullary collecting ducts cells and in the nodes of mice at 8.0 dpc, colocalizes with alpha-tubulin in cilia. Expressed in a punctate manner throughout the axoneme from the cilia base to the tip.",150795,"FUNCTION: Component of the IFT complex A (IFT-A), a complex required for retrograde ciliary transport and entry into cilia of G protein-coupled receptors (GPCRs). Essential for retrograde trafficking of IFT-1, IFT-B and GPCRs (By similarity). Negatively modulates the SHH signal transduction (PubMed:18327258). {ECO:0000250|UniProtKB:Q7Z4L5, ECO:0000269|PubMed:18327258}.",,Bergmann glial cell differentiation [GO:0060020]; cerebellar Purkinje cell differentiation [GO:0021702]; cerebellum development [GO:0021549]; cilium assembly [GO:0060271]; forebrain development [GO:0030900]; forebrain dorsal/ventral pattern formation [GO:0021798]; intraciliary retrograde transport [GO:0035721]; negative regulation of eating behavior [GO:1903999]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of gene expression [GO:0010628]; protein localization to cilium [GO:0061512]; protein localization to non-motile cilium [GO:0097499]; regulation of intraciliary retrograde transport [GO:1905799]; regulation of smoothened signaling pathway [GO:0008589]; regulation of transcription by RNA polymerase II [GO:0006357]; smoothened signaling pathway [GO:0007224]; ventricular system development [GO:0021591],chromatin binding [GO:0003682],,
Q0KL01,reviewed,UBX2B_MOUSE,UBX domain-containing protein 2B (NSFL1 cofactor p37) (p97 cofactor p37),Ubxn2b,Mus musculus (Mouse),331,cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; nucleus [GO:0005634]; spindle pole centrosome [GO:0031616],"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P0C627}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:P0C627}. Endoplasmic reticulum {ECO:0000250|UniProtKB:P0C627}. Golgi apparatus {ECO:0000250|UniProtKB:P0C627}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:23649807}. Note=Localizes to centrosome during mitotic prophase and metaphase. {ECO:0000269|PubMed:23649807}.",37444,"FUNCTION: Adapter protein required for Golgi and endoplasmic reticulum biogenesis. Involved in Golgi and endoplasmic reticulum maintenance during interphase and in their reassembly at the end of mitosis. The complex formed with VCP has membrane fusion activity; membrane fusion activity requires USO1-GOLGA2 tethering and BET1L. VCPIP1 is also required, but not its deubiquitinating activity. Together with NSFL1C/p47, regulates the centrosomal levels of kinase AURKA/Aurora A during mitotic progression by promoting AURKA removal from centrosomes in prophase. Also, regulates spindle orientation during mitosis. {ECO:0000250|UniProtKB:Q14CS0}.",,autophagosome assembly [GO:0000045]; establishment of mitotic spindle orientation [GO:0000132]; Golgi organization [GO:0007030]; membrane fusion [GO:0061025]; negative regulation of protein localization to centrosome [GO:1904780]; nuclear membrane reassembly [GO:0031468]; positive regulation of mitotic centrosome separation [GO:0046604]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161],ubiquitin binding [GO:0043130],,
Q0VFX2,reviewed,CF157_MOUSE,Cilia- and flagella-associated protein 157,Cfap157,Mus musculus (Mouse),523,ciliary basal body [GO:0036064]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:27965440}.",61048,FUNCTION: Specifically required during spermatogenesis for flagellum morphogenesis and sperm motility (PubMed:27965440). May be required to suppress the formation of supernumerary axonemes and ensure a correct ultrastructure (PubMed:27965440). {ECO:0000269|PubMed:27965440}.,TISSUE SPECIFICITY: Specifically expressed in tissues containing motile cilia. {ECO:0000269|PubMed:27965440}.,sperm axoneme assembly [GO:0007288],microtubule binding [GO:0008017],,
Q148B6,reviewed,SPERI_MOUSE,Speriolin (Spermatogenesis and centriole-associated protein 1) (Spermatogenic cell-specific Cdc20-binding protein),Spatc1 Sprn,Mus musculus (Mouse),480,centrosome [GO:0005813]; cytoplasm [GO:0005737],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15280373}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:15280373, ECO:0000269|PubMed:20542897}. Note=Colocalizes with the centrosomal pericentrin protein PCNT1. Located in the connecting piece of sperm. {ECO:0000269|PubMed:20542897}.",51418,,"TISSUE SPECIFICITY: Expressed in testis. Expressed in pachyten spermatocytes, spermatids and epididymal sperm (at protein level). {ECO:0000269|PubMed:15280373, ECO:0000269|PubMed:20542897}.",,gamma-tubulin binding [GO:0043015],,
Q149C2,reviewed,MIPT3_MOUSE,"TRAF3-interacting protein 1 (Intraflagellar transport protein 54 homolog) (Microtubule-interacting protein associated with TRAF3, MIP-T3)",Traf3ip1 Ift54 Mipt3,Mus musculus (Mouse),625,axoneme [GO:0005930]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; ciliary base [GO:0097546]; ciliary tip [GO:0097542]; ciliary transition zone [GO:0035869]; cilium [GO:0005929]; cytosol [GO:0005829]; intraciliary transport particle B [GO:0030992]; microtubule cytoskeleton [GO:0015630],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q8TDR0}. Cell projection, cilium {ECO:0000269|PubMed:19253336}. Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000269|PubMed:21945076}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:21945076}. Note=Microtubules. In the cilium, it is observed at the ciliary base, ciliary transition zone and ciliary tip. {ECO:0000250|UniProtKB:Q8TDR0}.",71037,"FUNCTION: Plays an inhibitory role on IL13 signaling by binding to IL13RA1. Involved in suppression of IL13-induced STAT6 phosphorylation, transcriptional activity and DNA-binding. Recruits TRAF3 and DISC1 to the microtubules (By similarity). Involved in epithelial morphogenesis and in the regulation of microtubule cytoskeleton organization. Is a negative regulator of microtubule stability, acting through the control of MAP4 levels (PubMed:26487268). Involved in ciliogenesis (PubMed:21945076). {ECO:0000250|UniProtKB:Q8TDR0, ECO:0000269|PubMed:21945076, ECO:0000269|PubMed:26487268}.",,cilium assembly [GO:0060271]; defense response to virus [GO:0051607]; embryonic camera-type eye development [GO:0031076]; embryonic digit morphogenesis [GO:0042733]; embryonic heart tube development [GO:0035050]; intraciliary anterograde transport [GO:0035720]; intraciliary transport [GO:0042073]; kidney development [GO:0001822]; morphogenesis of a polarized epithelium [GO:0001738]; negative regulation of defense response to virus [GO:0050687]; negative regulation of interferon-beta production [GO:0032688]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning [GO:1901621]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of type I interferon production [GO:0032480]; negative regulation of tyrosine phosphorylation of STAT protein [GO:0042532]; neural tube patterning [GO:0021532]; post-anal tail morphogenesis [GO:0036342]; regulation of DNA binding [GO:0051101]; regulation of microtubule cytoskeleton organization [GO:0070507]; smoothened signaling pathway involved in dorsal/ventral neural tube patterning [GO:0060831],microtubule binding [GO:0008017]; signaling receptor binding [GO:0005102]; tubulin binding [GO:0015631],,
Q14BB9,reviewed,MA6D1_MOUSE,"MAP6 domain-containing protein 1 (21 kDa STOP-like protein, SL21)",Map6d1,Mus musculus (Mouse),191,cis-Golgi network [GO:0005801]; Golgi-associated vesicle [GO:0005798]; microtubule [GO:0005874],"SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000269|PubMed:16837464}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:16837464}. Note=According to PubMed:16837464, it colocalizes with microtubules.",20433,FUNCTION: May have microtubule-stabilizing activity.,"TISSUE SPECIFICITY: Expressed in brain. Found in neurons in primary cultures, but absent in glial cells. {ECO:0000269|PubMed:16837464}.",cytoskeleton-dependent intracellular transport [GO:0030705]; microtubule cytoskeleton organization [GO:0000226]; N-terminal peptidyl-L-cysteine N-palmitoylation [GO:0018009]; negative regulation of microtubule depolymerization [GO:0007026]; regulation of microtubule cytoskeleton organization [GO:0070507],calmodulin binding [GO:0005516]; microtubule binding [GO:0008017],,
Q14BU0,reviewed,UCMA_MOUSE,"Unique cartilage matrix-associated protein (Upper zone of growth plate and cartilage matrix associated protein) [Cleaved into: Unique cartilage matrix-associated protein C-terminal fragment, Ucma-C (Gla-rich protein, GRP) ]",Ucma,Mus musculus (Mouse),138,cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794],"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:18156182, ECO:0000269|PubMed:19819238}.; SUBCELLULAR LOCATION: [Isoform 1]: Secreted. Golgi apparatus.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted. Golgi apparatus.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm, cytoskeleton {ECO:0000305}. Note=Colocalizes with aggresomes, which are aggregates of misfolded proteins, at the centrosome.; SUBCELLULAR LOCATION: [Isoform 4]: Cytoplasm, cytoskeleton {ECO:0000305}. Note=Colocalizes with aggresomes, which are aggregates of misfolded proteins, at the centrosome.",16579,FUNCTION: May be involved in the negative control of osteogenic differentiation of osteochondrogenic precursor cells in peripheral zones of fetal cartilage and at the cartilage-bone interface. {ECO:0000269|PubMed:18156182}.,TISSUE SPECIFICITY: Predominantly expressed in resting chondrocytes. {ECO:0000269|PubMed:18156182}.,embryonic skeletal system development [GO:0048706]; negative regulation of biomineralization [GO:0110150]; negative regulation of osteoblast differentiation [GO:0045668]; negative regulation of SMAD protein signal transduction [GO:0060392]; osteoblast differentiation [GO:0001649],BMP binding [GO:0036122],"SIGNAL 1..27; /evidence=""ECO:0000255""",
Q1EG27,reviewed,MYO3B_MOUSE,"Myosin-IIIb, EC 2.7.11.1",Myo3b,Mus musculus (Mouse),1305,cytosol [GO:0005829]; filopodium tip [GO:0032433]; myosin complex [GO:0016459]; photoreceptor inner segment [GO:0001917]; photoreceptor outer segment [GO:0001750]; stereocilium tip [GO:0032426],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}. Cell projection, stereocilium {ECO:0000269|PubMed:26754646}.",148099,"FUNCTION: Probable actin-based motor with a protein kinase activity (By similarity). Required for normal cochlear hair bundle development and hearing. Plays an important role in the early steps of cochlear hair bundle morphogenesis. Influences the number and lengths of stereocilia to be produced and limits the growth of microvilli within the forming auditory hair bundles thereby contributing to the architecture of the hair bundle, including its staircase pattern (PubMed:26754646). Involved in the elongation of actin in stereocilia tips by transporting the actin regulatory factor ESPN to the plus ends of actin filaments (PubMed:22264607). {ECO:0000250|UniProtKB:Q8WXR4, ECO:0000269|PubMed:22264607, ECO:0000269|PubMed:26754646}.","TISSUE SPECIFICITY: Expressed in the cochlear hair cells (at protein level) (PubMed:26754646). Expressed in utricle hair bundles (at protein level) (PubMed:26926603). {ECO:0000269|PubMed:26754646, ECO:0000269|PubMed:26926603}.",auditory receptor cell stereocilium organization [GO:0060088]; cochlea morphogenesis [GO:0090103]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of filopodium assembly [GO:0051491]; protein autophosphorylation [GO:0046777]; regulation of actin filament length [GO:0030832]; response to stimulus [GO:0050896]; sensory perception of sound [GO:0007605]; visual perception [GO:0007601],actin binding [GO:0003779]; ATP binding [GO:0005524]; microfilament motor activity [GO:0000146]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674],,
Q1HFZ0,reviewed,NSUN2_MOUSE,"RNA cytosine C(5)-methyltransferase NSUN2, EC 2.1.1.- (Myc-induced SUN domain-containing protein, Misu) (NOL1/NOP2/Sun domain family member 2) (mRNA cytosine C(5)-methyltransferase, EC 2.1.1.-) (tRNA cytosine C(5)-methyltransferase, EC 2.1.1.-, EC 2.1.1.203)",Nsun2 D13Wsu123e Misu,Mus musculus (Mouse),757,chromatoid body [GO:0033391]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleus [GO:0005634]; spindle [GO:0005819],"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:16713953, ECO:0000269|PubMed:19596847}. Cytoplasm {ECO:0000250|UniProtKB:Q08J23}. Mitochondrion {ECO:0000250|UniProtKB:Q08J23}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:19596847}. Secreted, extracellular exosome {ECO:0000269|PubMed:28341602}. Note=Concentrated in the nucleolus during interphase and translocates to the spindle during mitosis as an RNA-protein complex that includes 18S ribosomal RNA (PubMed:19596847). In testis, localizes to the chromatoid body (PubMed:23401851). {ECO:0000269|PubMed:19596847, ECO:0000269|PubMed:23401851}.",85452,"FUNCTION: RNA cytosine C(5)-methyltransferase that methylates cytosine to 5-methylcytosine (m5C) in various RNAs, such as tRNAs, mRNAs and some long non-coding RNAs (lncRNAs) (PubMed:22144916, PubMed:23871666, PubMed:31199786). Involved in various processes, such as epidermal stem cell differentiation, testis differentiation and maternal to zygotic transition during early development: acts by increasing protein synthesis; cytosine C(5)-methylation promoting tRNA stability and preventing mRNA decay (PubMed:22144916, PubMed:22885326, PubMed:23401851, PubMed:31199786). Methylates cytosine to 5-methylcytosine (m5C) at positions 34 and 48 of intron-containing tRNA(Leu)(CAA) precursors, and at positions 48, 49 and 50 of tRNA(Gly)(GCC) precursors (PubMed:22885326, PubMed:23871666, PubMed:31199786). tRNA methylation is required generation of RNA fragments derived from tRNAs (tRFs) (PubMed:31199786). Also mediates C(5)-methylation of mitochondrial tRNAs (PubMed:31276587, PubMed:31287866). Catalyzes cytosine C(5)-methylation of mRNAs, leading to stabilize them and prevent mRNA decay: mRNA stabilization involves YBX1 that specifically recognizes and binds m5C-modified transcripts (By similarity). Cytosine C(5)-methylation of mRNAs also regulates mRNA export: methylated transcripts are specifically recognized by THOC4/ALYREF, which mediates mRNA nucleo-cytoplasmic shuttling (By similarity). Also mediates cytosine C(5)-methylation of non-coding RNAs, such as vault RNAs (vtRNAs), promoting their processing into regulatory small RNAs (PubMed:23871666). Cytosine C(5)-methylation of vtRNA VTRNA1.1 promotes its processing into small-vault RNA4 (svRNA4) and regulates epidermal differentiation (By similarity). May act downstream of Myc to regulate epidermal cell growth and proliferation (PubMed:16713953). Required for proper spindle assembly and chromosome segregation, independently of its methyltransferase activity (PubMed:19596847). {ECO:0000250|UniProtKB:Q08J23, ECO:0000269|PubMed:16713953, ECO:0000269|PubMed:19596847, ECO:0000269|PubMed:22144916, ECO:0000269|PubMed:22885326, ECO:0000269|PubMed:23401851, ECO:0000269|PubMed:23871666, ECO:0000269|PubMed:31199786, ECO:0000269|PubMed:31276587, ECO:0000269|PubMed:31287866}.","TISSUE SPECIFICITY: Ubiquitously expressed at low level (PubMed:16713953). Up-regulated in tumors (PubMed:16713953). Dynamically expressed during morphogenesis and in adult skin: in adult skin, expression is up-regulated in the bulge and hair germ as soon as the hair follicle enters its growing phase (anagen) (PubMed:22144916). During anagen, expressed at highest level in cells of the hair germ that give rise to the hair matrix (PubMed:22144916). {ECO:0000269|PubMed:16713953, ECO:0000269|PubMed:22144916}.",cell division [GO:0051301]; hair follicle maturation [GO:0048820]; in utero embryonic development [GO:0001701]; meiotic cell cycle checkpoint signaling [GO:0033313]; mRNA methylation [GO:0080009]; regulation of mRNA export from nucleus [GO:0010793]; regulation of stem cell differentiation [GO:2000736]; RNA methylation [GO:0001510]; spermatid development [GO:0007286]; tRNA methylation [GO:0030488]; tRNA stabilization [GO:0036416],methyltransferase activity [GO:0008168]; mRNA (cytidine-5-)-methyltransferase activity [GO:0062152]; tRNA (cytosine-5-)-methyltransferase activity [GO:0016428]; tRNA binding [GO:0000049],,
Q1W617,reviewed,SHRM4_MOUSE,Protein Shroom4,Shroom4 Kiaa1202,Mus musculus (Mouse),1475,actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; adherens junction [GO:0005912]; apical junction complex [GO:0043296]; apical plasma membrane [GO:0016324]; basal plasma membrane [GO:0009925]; cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; focal adhesion [GO:0005925]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; stress fiber [GO:0001725],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:17009331}. Note=Shows partial colocalization with the cytoplasmic pool of F-actin.",163238,FUNCTION: Probable regulator of cytoskeletal architecture that plays an important role in development. May regulate cellular and cytoskeletal architecture by modulating the spatial distribution of myosin II. {ECO:0000269|PubMed:17009331}.,"TISSUE SPECIFICITY: Detected in most adult tissues examined. Expressed in brain, lung, heart, liver, kidney, muscle and ovary. Expressed throughout the brain, with high expression in the brain stem and cerebellum and weaker expression in the hypothalamus, the hippocampus and the olfactory bulb. Expressed in wide range of cell types during developpment, including vascular endothelium and the polarized epithelium of the neural tube and kidney. {ECO:0000269|PubMed:16249884, ECO:0000269|PubMed:17009331}.",actin filament organization [GO:0007015]; brain development [GO:0007420]; cognition [GO:0050890],actin filament binding [GO:0051015]; myosin II binding [GO:0045159],,
