User Input	Mapped Gene Symbol	Num of Expt. (found/total)	Ave SC	Max SC
Q8IUW3	SPATA2L	 / 716	0	
Q8NFH3	NUP43	37 / 716	1.8	7
Q9BX93	PLA2G12B	 / 716	0	
P35326	SPRR2A	27 / 716	3.2	11
Q86YH2	ZNF280B	9 / 716	1.1	2
Q9UGP5	POLL	 / 716	0	
Q8NBJ7	SUMF2	18 / 716	1.7	6
O75581	LRP6	 / 716	0	
A0A1W2PQ73	LOC390937	 / 716	0	
Q8NFH4	NUP37	28 / 716	2.1	8
Q92854	SEMA4D	 / 716	0	
Q7L099	RUFY3	8 / 716	1.3	2
Q9Y6Y1	CAMTA1	3 / 716	1	1
Q15800	MSMO1	6 / 716	1.2	2
Q15047	SETDB1	8 / 716	1.3	2
Q86Z20	CCDC125	 / 716	0	
O95704	APBB3	2 / 716	1	1
Q86UP9	LHFPL3	 / 716	0	
Q9NUT2	ABCB8	 / 716	0	
O75718	CRTAP	11 / 716	1.4	2
Q6NUQ4	TMEM214	6 / 716	1.5	3
P02768	ALB	239 / 716	7.8	89
P15514	AREG	 / 716	0	
Q6NZI2	CAVIN1	27 / 716	3.7	25
Q17RN3	FAM98C	 / 716	0	
Q9BXS0	COL25A1	 / 716	0	
Q8NGG2	OR5T2	 / 716	0	
Q8N184	ZNF567	4 / 716	1.3	2
Q9BQT8	SLC25A21	5 / 716	1	1
Q8IXH7	NELFCD	51 / 716	5.5	29
Q14973	SLC10A1	 / 716	0	
Q9H693	C16ORF95	 / 716	0	
P0CI26	TRIM49C	 / 716	0	
Q96N21	TEPSIN	 / 716	0	
P09669	COX6C	23 / 716	1.4	7
Q9Y463	DYRK1B	 / 716	0	
Q5SXM2	SNAPC4	10 / 716	1.9	5
Q14832	GRM3	 / 716	0	
Q8TD33	SCGB1C1	 / 716	0	
Q96FJ2	DYNLL2	183 / 716	1.7	19
Q96S94	CCNL2	19 / 716	1.1	2
Q8TAY7	FAM110D	 / 716	0	
O95076	ALX3	1 / 716	1	1
Q92826	HOXB13	 / 716	0	
P05423	POLR3D	13 / 716	1.1	2
Q96RQ1	ERGIC2	1 / 716	1	1
O95998	IL18BP	1 / 716	2	2
P13797	PLS3	208 / 716	7.4	37
P37840	SNCA	95 / 716	2.1	8
Q8TCC3	MRPL30	22 / 716	1.6	3
P06727	APOA4	 / 716	0	
Q9GZN4	PRSS22	3 / 716	2.3	4
Q9H1C7	CYSTM1	1 / 716	1	1
Q9NR61	DLL4	 / 716	0	
O00294	TULP1	 / 716	0	
Q96D53	COQ8B	3 / 716	1	1
Q8N6U8	GPR161	 / 716	0	
Q9NVL8	C14ORF105	 / 716	0	
Q9H324	ADAMTS10	2 / 716	1	1
O15357	INPPL1	22 / 716	3.7	27
Q93086	P2RX5	2 / 716	1.5	2
Q8TDQ7	GNPDA2	8 / 716	1.1	2
Q99873	PRMT1	262 / 716	5	30
P56378	MP68	3 / 716	1.7	2
Q96DI7	SNRNP40	150 / 716	4	22
Q15637	SF1	256 / 716	7.9	64
Q96HL8	SH3YL1	 / 716	0	
Q9BWS9	CHID1	19 / 716	1.5	4
Q9P0J6	MRPL36	 / 716	0	
P0DN87	CGB7	 / 716	0	
Q92882	OSTF1	1 / 716	1	1
Q7Z2K8	GPRIN1	83 / 716	4.5	13
Q96JW4	SLC41A2	 / 716	0	
Q9Y608	LRRFIP2	72 / 716	2.3	23
O14545	TRAFD1	19 / 716	1.2	3
Q5T601	ADGRF1	1 / 716	1	1
Q5T6L9	ERMARD	 / 716	0	
P57771	RGS8	 / 716	0	
Q8WXK1	ASB15	1 / 716	1	1
Q53RE8	ANKRD39	 / 716	0	
P51149	RAB7A	104 / 716	4.7	25
O15354	GPR37	 / 716	0	
Q8IWZ8	SUGP1	122 / 716	8.9	54
Q58EX7	PLEKHG4	 / 716	0	
Q6P2E9	EDC4	163 / 716	6.2	32
Q9H9C1	VIPAS39	7 / 716	3.9	10
O75161	NPHP4	 / 716	0	
Q8TE99	PXYLP1	 / 716	0	
Q00796	SORD	46 / 716	2.7	13
Q9HD33	MRPL47	40 / 716	1.5	4
P47224	RABIF	 / 716	0	
O94889	KLHL18	 / 716	0	
Q5T215	TRAPPC3L	 / 716	0	
Q6QAJ8	TMEM220	 / 716	0	
O75355	ENTPD3	1 / 716	1	1
Q8IY57	YAF2	3 / 716	1	1
O60784	TOM1	29 / 716	7.6	50
P20366	TAC1	 / 716	0	
P20941	PDC	 / 716	0	
Q8N7N1	FAM86B1	1 / 716	1	1
Q96EY5	MVB12A	1 / 716	1	1
O60809	PRAMEF10	 / 716	0	
P27540	ARNT	15 / 716	1.9	5
Q14533	KRT81	131 / 716	5.5	143
O14787	TNPO2	70 / 716	1.4	5
O15350	TP73	4 / 716	1.8	3
P82987	ADAMTSL3	 / 716	0	
Q9UP95	SLC12A4	2 / 716	1.5	2
Q9UBX5	FBLN5	2 / 716	1	1
A6NEQ2	FAM181B	 / 716	0	
Q66K79	CPZ	 / 716	0	
Q86UK0	ABCA12	3 / 716	1	1
P49441	INPP1	1 / 716	1	1
P11473	VDR	 / 716	0	
O15169	AXIN1	1 / 716	1	1
P11142	HSPA8	703 / 716	46.9	338
Q9NVR2	INTS10	1 / 716	1	1
Q9GZN1	ACTR6	9 / 716	1.4	2
O95171	SCEL	 / 716	0	
Q96RM1	SPRR2F	24 / 716	2.3	5
P53804	TTC3	 / 716	0	
P0DPB5	Invalid identifier / gene not available			
O95925	EPPIN	 / 716	0	
Q16630	CPSF6	299 / 716	5.3	28
Q495M9	USH1G	 / 716	0	
P0DV73	Invalid identifier / gene not available			
Q9BRG1	VPS25	7 / 716	1.1	2
P25025	CXCR2	 / 716	0	
Q9NX57	RAB20	 / 716	0	
A8MXD5	GRXCR1	 / 716	0	
A8MXV4	NUDT19	17 / 716	2.2	6
Q13503	MED21	 / 716	0	
O00488	ZNF593	36 / 716	2	7
P17787	CHRNB2	 / 716	0	
Q6DJT9	PLAG1	 / 716	0	
P24310	COX7A1	 / 716	0	
Q9UN74	PCDHA4	 / 716	0	
Q6PIV2	FOXR1	 / 716	0	
A6NJ69	IGIP	 / 716	0	
P23396	RPS3	491 / 716	15.7	75
P54709	ATP1B3	55 / 716	2.3	7
Q9NPC4	A4GALT	 / 716	0	
Q96MV1	TMEM56	1 / 716	1	1
P43251	BTD	 / 716	0	
P06133	UGT2B4	 / 716	0	
Q9P2E3	ZNFX1	 / 716	0	
O95473	SYNGR4	 / 716	0	
Q14677	CLINT1	161 / 716	8.5	36
Q6UXV4	APOOL	2 / 716	1	1
Q8TEY5	CREB3L4	1 / 716	1	1
P54851	EMP2	 / 716	0	
P43243	MATR3	441 / 716	10.4	96
Q03013	GSTM4	3 / 716	2.3	5
A0A590UK83	Invalid identifier / gene not available			
A7XYQ1	SOBP	 / 716	0	
P31249	HOXD3	1 / 716	1	1
Q969E3	UCN3	 / 716	0	
Q86V25	VASH2	 / 716	0	
P56556	NDUFA6	8 / 716	1.1	2
Q8IV50	LYSMD2	 / 716	0	
P29803	PDHA2	61 / 716	2.2	7
Q9H4L5	OSBPL3	2 / 716	1	1
Q9H4M7	PLEKHA4	 / 716	0	
Q6IPM2	IQCE	1 / 716	1	1
Q53FD0	ZC2HC1C	 / 716	0	
Q9BZJ6	GPR63	 / 716	0	
O75116	ROCK2	36 / 716	1.3	6
Q9Y450	HBS1L	94 / 716	3.1	16
Q9HCM2	PLXNA4	 / 716	0	
Q13895	BYSL	146 / 716	3.9	22
Q6NXE6	ARMC6	3 / 716	1	1
O94964	SOGA1	7 / 716	1.3	3
P55318	FOXA3	 / 716	0	
Q99755	PIP5K1A	20 / 716	1.2	2
Q8TF20	ZNF721	23 / 716	1.3	3
O95214	LEPROTL1	 / 716	0	
Q8TDY8	IGDCC4	 / 716	0	
Q99928	GABRG3	1 / 716	3	3
Q86UU5	GGN	3 / 716	1.3	2
Q9H2A3	NEUROG2	 / 716	0	
P62081	RPS7	368 / 716	8.6	48
Q9NWC5	TMEM45A	 / 716	0	
Q9UK33	ZNF580	1 / 716	1	1
Q6DWJ6	GPR139	 / 716	0	
Q15116	PDCD1	 / 716	0	
Q9BSM1	PCGF1	11 / 716	1	1
Q4G0S7	CCDC152	 / 716	0	
O00506	STK25	46 / 716	1.4	7
Q9H875	PRKRIP1	 / 716	0	
Q9NW15	ANO10	 / 716	0	
Q8NFR7	CCDC148	 / 716	0	
Q96SQ9	CYP2S1	 / 716	0	
Q15075	EEA1	38 / 716	7.2	23
O14662	STX16	2 / 716	1	1
Q96B02	UBE2W	 / 716	0	
Q99645	EPYC	 / 716	0	
P04424	ASL	 / 716	0	
P60006	ANAPC15	6 / 716	1.2	2
Q30KQ7	DEFB113	 / 716	0	
Q7Z7M8	B3GNT8	 / 716	0	
Q2TAA8	TSNAXIP1	 / 716	0	
Q9BYZ2	LDHAL6B	87 / 716	2.5	9
Q5VYS4	MEDAG	 / 716	0	
Q5BKZ1	ZNF326	193 / 716	3.2	14
Q6PEW1	ZCCHC12	 / 716	0	
Q9Y575	ASB3	 / 716	0	
Q9BYE2	TMPRSS13	6 / 716	1.7	3
P16619	CCL3L3	 / 716	0	
P41220	RGS2	1 / 716	2	2
O60613	SELENOF	20 / 716	1.2	2
O95164	UBL3	 / 716	0	
P78417	GSTO1	81 / 716	5.3	17
Q13956	PDE6H	 / 716	0	
Q08397	LOXL1	3 / 716	1	1
Q16322	KCNA10	1 / 716	1	1
Q8ND24	RNF214	36 / 716	1.5	3
Q6P531	GGT6	 / 716	0	
Q16617	NKG7	 / 716	0	
Q86U70	LDB1	1 / 716	1	1
Q14031	COL4A6	1 / 716	1	1
P53041	PPP5C	39 / 716	1.4	3
Q96JP9	CDHR1	3 / 716	1	1
P35408	PTGER4	 / 716	0	
Q5KU26	COLEC12	2 / 716	1	1
O60811	PRAMEF2	 / 716	0	
Q9UI08	EVL	2 / 716	1	1
Q8N9W8	FAM71D	 / 716	0	
Q9NYA4	MTMR4	1 / 716	1	1
Q14749	GNMT	 / 716	0	
P50213	IDH3A	80 / 716	4.7	20
P21579	SYT1	 / 716	0	
Q9BZW8	CD244	1 / 716	1	1
Q8N9N8	EIF1AD	8 / 716	1.5	3
Q99707	MTR	57 / 716	2.6	9
Q9NRX2	MRPL17	39 / 716	2.4	6
P26998	CRYBB3	 / 716	0	
Q9Y232	CDYL	30 / 716	2	7
Q1ED39	KNOP1	117 / 716	7.1	29
Q8WXX5	DNAJC9	86 / 716	3	12
P33076	CIITA	 / 716	0	
Q8TBY9	WDR66	 / 716	0	
Q01081	U2AF1	351 / 716	3.5	16
Q9BRJ7	NUDT16L1	46 / 716	1.6	7
Q5VZI3	TMEM268	 / 716	0	
Q8NHK3	KIR2DL5B	 / 716	0	
Q9BZQ2	SHCBP1L	 / 716	0	
Q01543	FLI1	4 / 716	1	1
P50539	MXI1	 / 716	0	
Q6E213	AWAT2	 / 716	0	
Q9NRD8	DUOX2	3 / 716	1	1
Q8N5Q1	FAM71E2	 / 716	0	
Q9UHC9	NPC1L1	 / 716	0	
Q7Z4L5	TTC21B	1 / 716	1	1
P16233	PNLIP	 / 716	0	
Q9P203	BTBD7	3 / 716	1	1
Q9NWH2	TMEM242	 / 716	0	
Q9H6U8	ALG9	 / 716	0	
Q8IUI8	CRLF3	6 / 716	2.2	4
Q9H503	BANF2	 / 716	0	
Q14457	BECN1	 / 716	0	
O75575	CRCP	1 / 716	1	1
Q8NA70	FAM47B	 / 716	0	
Q9H0K4	RSPH6A	 / 716	0	
A6NM10	AQP12B	 / 716	0	
Q96AQ9	FAM131C	 / 716	0	
Q13105	ZBTB17	1 / 716	2	2
Q8IWI9	MGA	124 / 716	6.6	45
A6NL82	FAM183A	 / 716	0	
Q6I9Y2	THOC7	55 / 716	1.9	10
P26045	PTPN3	 / 716	0	
O95760	IL33	 / 716	0	
Q86U44	METTL3	21 / 716	1	2
O14777	NDC80	2 / 716	1	1
Q9H3R1	NDST4	 / 716	0	
Q5T6J7	IDNK	 / 716	0	
P19075	TSPAN8	 / 716	0	
Q7Z3B3	KANSL1	2 / 716	1	1
Q8WUT9	SLC25A43	 / 716	0	
Q9H063	MAF1	1 / 716	1	1
Q8WVL7	ANKRD49	 / 716	0	
A1IGU5	ARHGEF37	 / 716	0	
Q9HCE1	MOV10	87 / 716	5	28
Q9Y4A5	TRRAP	13 / 716	1.6	3
P62070	RRAS2	20 / 716	1.5	4
Q92934	BAD	 / 716	0	
P25786	PSMA1	180 / 716	5	23
Q8N6T3	ARFGAP1	112 / 716	7	31
P03886	MT-ND1	3 / 716	1	1
Q15172	PPP2R5A	 / 716	0	
Q9H425	C1ORF198	47 / 716	1.6	6
Q9P2K9	DISP3	1 / 716	1	1
P19447	ERCC3	2 / 716	1	1
Q8NEP7	KLHDC9	 / 716	0	
O94925	GLS	54 / 716	3.1	12
Q96F07	CYFIP2	216 / 716	5.2	139
P36896	ACVR1B	 / 716	0	
P43119	PTGIR	 / 716	0	
Q14CX5	MFSD13A	 / 716	0	
Q9HD90	NEUROD4	 / 716	0	
Q8NA54	IQUB	 / 716	0	
Q01433	AMPD2	11 / 716	2	4
A2RUC4	TYW5	1 / 716	15	15
Q03252	LMNB2	156 / 716	5	54
Q16143	SNCB	12 / 716	1.1	2
Q4G0P3	HYDIN	 / 716	0	
Q6P996	PDXDC1	46 / 716	2	4
Q9UN67	PCDHB10	 / 716	0	
Q86X24	HORMAD1	 / 716	0	
Q08426	EHHADH	1 / 716	1	1
Q96DY7	MTBP	 / 716	0	
Q99519	NEU1	3 / 716	1	1
Q9NPF0	CD320	 / 716	0	
Q9UN72	PCDHA7	 / 716	0	
O15117	FYB	 / 716	0	
Q9H1R3	MYLK2	4 / 716	1	1
A6NEY8	PRORSD1P	1 / 716	1	1
O75290	ZNF780A	20 / 716	1.7	4
Q9BV99	LRRC61	 / 716	0	
O00501	CLDN5	 / 716	0	
P09972	ALDOC	92 / 716	2.5	13
P61225	RAP2B	14 / 716	1.9	3
Q9H777	ELAC1	 / 716	0	
Q53EL9	SEZ6	 / 716	0	
Q9H160	ING2	9 / 716	1.1	2
O75762	TRPA1	1 / 716	2	2
P06703	S100A6	72 / 716	2.9	15
P35580	MYH10	379 / 716	30	750
Q9Y2W2	WBP11	131 / 716	5.5	42
Q96DY2	IQCD	1 / 716	1	1
Q9BXJ3	C1QTNF4	1 / 716	1	1
Q13705	ACVR2B	 / 716	0	
Q9UHL4	DPP7	5 / 716	7.2	23
O95813	CER1	 / 716	0	
Q6PF05	TTC23L	 / 716	0	
P02814	SMR3B	1 / 716	1	1
A0A096LNP1	LOC100129216	 / 716	0	
Q9NZ32	ACTR10	16 / 716	1.1	2
Q96LZ7	RMDN2	 / 716	0	
Q9Y6L6	SLCO1B1	 / 716	0	
Q9BQI4	CCDC3	2 / 716	1	1
P16591	FER	 / 716	0	
Q9Y2C2	UST	 / 716	0	
Q9UH73	EBF1	 / 716	0	
Q8N568	DCLK2	 / 716	0	
O14595	CTDSP2	 / 716	0	
P49221	TGM4	 / 716	0	
Q16206	ENOX2	 / 716	0	
Q9Y281	CFL2	392 / 716	3.8	38
Q6NV74	KIAA1211L	 / 716	0	
Q9NYZ1	TVP23B	 / 716	0	
Q96RD9	FCRL5	1 / 716	1	1
Q9BT49	THAP7	 / 716	0	
Q5VVH2	FKBP1C	4 / 716	1.5	2
A2RU54	HMX2	 / 716	0	
Q8NDZ2	SIMC1	1 / 716	2	2
Q8TDX9	PKD1L1	1 / 716	1	1
P14854	COX6B1	44 / 716	1.7	4
A1Z1Q3	MACROD2	 / 716	0	
P22314	UBA1	301 / 716	10.7	146
Q96EK6	GNPNAT1	8 / 716	1.4	3
Q99518	FMO2	 / 716	0	
Q13214	SEMA3B	3 / 716	1	1
O95500	CLDN14	 / 716	0	
Q5TCX8	MAP3K21	 / 716	0	
P0DP01	IGHV1-8	 / 716	0	
Q8N511	TMEM199	6 / 716	1	1
Q9BSJ6	PIMREG	 / 716	0	
Q8TB72	PUM2	48 / 716	1.3	4
Q5T1V6	DDX59	 / 716	0	
P78415	IRX3	1 / 716	1	1
O00311	CDC7	3 / 716	1	1
P49279	SLC11A1	 / 716	0	
Q9Y3A5	SBDS	33 / 716	1.5	5
Q9NY64	SLC2A8	1 / 716	1	1
Q8IUY3	GRAMD2A	 / 716	0	
A6NF83	NUPR2	 / 716	0	
Q9GZT3	SLIRP	113 / 716	3.1	11
Q9UQ10	DHDH	3 / 716	1	1
O75159	SOCS5	 / 716	0	
O95571	ETHE1	4 / 716	1.3	2
Q8WYA1	ARNTL2	 / 716	0	
Q0VF49	KIAA2012	1 / 716	1	1
P02765	AHSG	12 / 716	1.9	6
P35240	NF2	8 / 716	2.3	4
Q8NE28	STKLD1	 / 716	0	
O95406	CNIH1	 / 716	0	
Q14994	NR1I3	1 / 716	1	1
P51575	P2RX1	 / 716	0	
P09769	FGR	157 / 716	1.2	3
Q96HD9	ACY3	 / 716	0	
Q96QU8	XPO6	 / 716	0	
Q06124	PTPN11	158 / 716	5.6	36
Q05209	PTPN12	67 / 716	2.6	18
Q5SQS7	SH2D4B	 / 716	0	
Q96DE5	ANAPC16	9 / 716	1.6	3
O95758	PTBP3	182 / 716	2.4	10
Q8IZ52	CHPF	2 / 716	1	1
P78504	JAG1	2 / 716	1	1
Q9NR34	MAN1C1	 / 716	0	
Q5SWA1	PPP1R15B	3 / 716	1.3	2
Q16566	CAMK4	10 / 716	1	1
O75347	TBCA	68 / 716	3.6	11
Q8TE73	DNAH5	1 / 716	1	1
P55290	CDH13	1 / 716	4	4
P20742	PZP	43 / 716	1.5	4
Q8NEA9	GMCL1P1	 / 716	0	
Q9HB09	BCL2L12	1 / 716	1	1
P16949	STMN1	276 / 716	4.3	25
Q0ZGT2	NEXN	46 / 716	5.1	21
A0A0B4J245	TRAV12-1	 / 716	0	
Q9Y4P3	TBL2	47 / 716	1.6	7
Q9NR97	TLR8	 / 716	0	
Q5VZL5	ZMYM4	93 / 716	6	20
Q7RTY5	PRSS48	1 / 716	1	1
Q53HV7	SMUG1	 / 716	0	
Q12906	ILF3	379 / 716	10.1	99
P08174	CD55	1 / 716	2	2
P78329	CYP4F2	 / 716	0	
Q7Z309	FAM122B	9 / 716	1.1	2
Q9NUK0	MBNL3	2 / 716	2	3
Q5T9C2	FAM102A	 / 716	0	
Q96IG2	FBXL20	 / 716	0	
Q9NQ40	SLC52A3	 / 716	0	
Q96BR5	COA7	6 / 716	1.3	3
Q5T089	MORN1	 / 716	0	
P10826	RARB	 / 716	0	
P14866	HNRNPL	460 / 716	12.4	212
O75409	HYPM	 / 716	0	
Q9UDW1	UQCR10	8 / 716	1	1
Q96DX5	ASB9	 / 716	0	
Q9UK59	DBR1	18 / 716	3.2	14
Q8IZ02	LRRC34	 / 716	0	
Q8TC84	FANK1	 / 716	0	
Q9BUP3	HTATIP2	5 / 716	1	1
Q9NWQ9	C14ORF119	 / 716	0	
Q9Y5H6	PCDHA8	 / 716	0	
Q8WY91	THAP4	 / 716	0	
Q9BSU3	NAA11	16 / 716	1.1	2
Q9BWF2	TRAIP	 / 716	0	
Q14863	POU6F1	 / 716	0	
Q9Y210	TRPC6	 / 716	0	
P35462	DRD3	 / 716	0	
O14730	RIOK3	1 / 716	1	1
Q99798	ACO2	89 / 716	4.7	39
Q9UHL0	DDX25	5 / 716	1	1
P41180	CASR	1 / 716	1	1
Q99757	TXN2	6 / 716	1.2	2
P49641	MAN2A2	 / 716	0	
P04279	SEMG1	8 / 716	1.1	2
Q6EMB2	TTLL5	1 / 716	1	1
Q4KMP7	TBC1D10B	60 / 716	1.3	5
Q9BQP9	BPIFA3	 / 716	0	
P78330	PSPH	8 / 716	1.3	2
Q9UKR0	KLK12	 / 716	0	
Q9UHA7	IL36A	1 / 716	2	2
Q6N021	TET2	16 / 716	4.7	13
Q8NAA4	ATG16L2	 / 716	0	
Q6PL24	TMED8	 / 716	0	
Q9Y4D2	DAGLA	1 / 716	1	1
A8MWK0	FADS2P1	 / 716	0	
Q9Y519	TMEM184B	 / 716	0	
Q5TC79	ZBTB37	 / 716	0	
Q96KP1	EXOC2	5 / 716	1.4	3
Q7RTV0	PHF5A	133 / 716	2.1	6
P0DTE7	Invalid identifier / gene not available			
Q8TEX9	IPO4	77 / 716	2.4	21
Q8WWM9	CYGB	 / 716	0	
Q13349	ITGAD	2 / 716	1	1
P34910	EVI2B	 / 716	0	
Q6P2D8	XRRA1	 / 716	0	
P42226	STAT6	1 / 716	1	1
P53673	CRYBA4	 / 716	0	
A7E2U8	C4ORF47	 / 716	0	
P45877	PPIC	6 / 716	1.2	2
Q9BQD1	PMCHL2	 / 716	0	
P68371	TUBB4B	678 / 716	40	317
Q6ZUA9	MROH5	1 / 716	1	1
Q9Y345	SLC6A5	 / 716	0	
Q9UNH7	SNX6	42 / 716	1.3	3
Q96KC8	DNAJC1	1 / 716	1	1
P80217	IFI35	 / 716	0	
Q96BD8	SKA1	53 / 716	1.4	3
P41212	ETV6	2 / 716	1	1
O43824	GTPBP6	4 / 716	1.3	2
Q86X51	CXORF67	3 / 716	4.7	11
P09430	TNP1	 / 716	0	
Q9NVM1	EVA1B	 / 716	0	
Q8IXU6	SLC35F2	 / 716	0	
Q9HB58	SP110	4 / 716	1	1
Q96A47	ISL2	6 / 716	2.3	5
Q9UIW0	VAX2	 / 716	0	
Q9H061	TMEM126A	3 / 716	1	1
Q96M34	C3ORF30	 / 716	0	
Q9BTV5	FSD1	3 / 716	1	1
Q969M2	GJA10	 / 716	0	
P49407	ARRB1	 / 716	0	
P35575	G6PC	 / 716	0	
Q9Y5S2	CDC42BPB	15 / 716	1.4	3
A7E2Y1	MYH7B	18 / 716	1.4	7
Q5TCY1	TTBK1	 / 716	0	
P51681	CCR5	 / 716	0	
P04217	A1BG	 / 716	0	
Q5T1Q4	SLC35F1	 / 716	0	
P24928	POLR2A	175 / 716	4.5	84
Q01973	ROR1	 / 716	0	
Q8IUE0	TGIF2LY	 / 716	0	
P61925	PKIA	 / 716	0	
Q9GZQ3	COMMD5	 / 716	0	
Q8N697	SLC15A4	 / 716	0	
Q96CM4	NXNL1	 / 716	0	
P20155	SPINK2	 / 716	0	
Q9UBW8	COPS7A	44 / 716	1.4	6
Q14494	NFE2L1	 / 716	0	
Q63HM9	PLCXD3	 / 716	0	
Q9BRQ3	NUDT22	 / 716	0	
P28676	GCA	1 / 716	1	1
Q92686	NRGN	6 / 716	1.3	2
P53701	HCCS	29 / 716	2.5	6
Q9NQ34	TMEM9B	3 / 716	1.3	2
Q9BRK5	SDF4	45 / 716	1.7	4
Q9NYJ8	TAB2	43 / 716	1.2	4
O75688	PPM1B	159 / 716	28	171
P10071	GLI3	2 / 716	1	1
P40939	HADHA	154 / 716	7.4	39
P15170	GSPT1	180 / 716	2.8	16
Q9ULJ8	PPP1R9A	13 / 716	3.8	29
O15156	ZBTB7B	 / 716	0	
Q96RG2	PASK	48 / 716	1.9	4
Q16602	CALCRL	 / 716	0	
P18077	RPL35A	220 / 716	4.2	23
O60941	DTNB	20 / 716	1.1	2
Q6UXU4	GSG1L	 / 716	0	
O14559	ARHGAP33	 / 716	0	
Q8IYD1	GSPT2	124 / 716	1.9	11
P03952	KLKB1	 / 716	0	
Q9UJ78	ZMYM5	8 / 716	1	1
Q6UXV0	GFRAL	 / 716	0	
P04001	OPN1MW	 / 716	0	
O43734	TRAF3IP2	 / 716	0	
Q9UFD9	RIMBP3	1 / 716	2	2
P34972	CNR2	 / 716	0	
Q9H4I3	TRABD	13 / 716	1.2	3
Q96DP5	MTFMT	 / 716	0	
Q7RTZ1	OVCH2	 / 716	0	
Q9BRR0	ZKSCAN3	8 / 716	1.1	2
P02748	C9	4 / 716	1.5	2
Q6ZMH5	SLC39A5	 / 716	0	
Q9Y673	ALG5	13 / 716	1.3	4
P55822	SH3BGR	1 / 716	1	1
Q9BUQ8	DDX23	144 / 716	6.7	179
Q8IWY8	ZSCAN29	12 / 716	1	1
P51451	BLK	158 / 716	1.2	3
P46060	RANGAP1	283 / 716	14.5	65
P37058	HSD17B3	 / 716	0	
Q9NPR9	GPR108	1 / 716	1	1
O14939	PLD2	4 / 716	1	1
Q6PIY7	PAPD4	2 / 716	1	1
Q15633	TARBP2	 / 716	0	
Q9BW72	HIGD2A	10 / 716	1.1	2
P17041	ZNF32	 / 716	0	
A6NFH5	FABP12	4 / 716	1.3	2
P78411	IRX5	 / 716	0	
Q9UJJ7	RPUSD1	1 / 716	1	1
Q12765	SCRN1	15 / 716	1.2	2
Q8NHX9	TPCN2	 / 716	0	
Q9UKF2	ADAM30	 / 716	0	
Q9Y375	NDUFAF1	 / 716	0	
O15321	TM9SF1	 / 716	0	
Q9BRB3	PIGQ	 / 716	0	
Q9C0D3	ZYG11B	4 / 716	1.8	2
P00480	OTC	 / 716	0	
P98177	FOXO4	2 / 716	1	1
P61923	COPZ1	111 / 716	1.7	10
Q9BSJ1	TRIM51	1 / 716	1	1
Q13258	PTGDR	 / 716	0	
P55060	CSE1L	318 / 716	7.9	59
P48788	TNNI2	 / 716	0	
P01599	IGKV1-17	 / 716	0	
Q9UKI8	TLK1	11 / 716	1.5	3
P00387	CYB5R3	64 / 716	3.1	15
P09914	IFIT1	17 / 716	1.2	3
P19235	EPOR	 / 716	0	
Q9BXY5	CAPS2	 / 716	0	
Q9HBJ7	USP29	 / 716	0	
Q9BVV6	KIAA0586	16 / 716	1.2	2
Q9UKJ1	PILRA	 / 716	0	
O43529	CHST10	 / 716	0	
P51513	NOVA1	 / 716	0	
Q712K3	UBE2R2	 / 716	0	
P47775	GPR12	 / 716	0	
P09093	CELA3A	 / 716	0	
Q9BXA9	SALL3	5 / 716	1	1
Q9UPS8	ANKRD26	16 / 716	1.8	6
Q9BT56	SPX	 / 716	0	
P49759	CLK1	16 / 716	2.1	6
Q8N129	CNPY4	 / 716	0	
Q9Y6H1	CHCHD2	69 / 716	5.2	177
Q8TDW4	ST7L	2 / 716	1	1
Q9HBI5	C3ORF14	 / 716	0	
A9UHW6	MIF4GD	 / 716	0	
Q14244	MAP7	109 / 716	2.6	11
P33121	ACSL1	7 / 716	1.6	4
Q702N8	XIRP1	2 / 716	1.5	2
Q71U36	TUBA1A	694 / 716	41.7	261
Q9BZH6	WDR11	43 / 716	2.5	11
Q96T37	RBM15	127 / 716	4.2	39
O95455	TGDS	 / 716	0	
Q92623	TTC9	1 / 716	2	2
Q9Y283	INVS	 / 716	0	
P27987	ITPKB	1 / 716	1	1
Q3ZAQ7	VMA21	4 / 716	1.5	2
Q68DH5	LMBRD2	 / 716	0	
Q8N7Q3	ZNF676	18 / 716	1.1	2
Q6UXS9	CASP12	 / 716	0	
Q9NW61	PLEKHJ1	1 / 716	1	1
A6NL99	AQP7P3	 / 716	0	
Q9NZH5	PTTG2	3 / 716	1	1
P81534	DEFB103B	 / 716	0	
Q15399	TLR1	 / 716	0	
O43237	DYNC1LI2	109 / 716	2.2	10
Q8IVT2	MISP	32 / 716	13.1	42
O15056	SYNJ2	45 / 716	2.4	20
Q6ZN68	DPY19L2P2	 / 716	0	
Q14344	GNA13	146 / 716	1.5	12
P37235	HPCAL1	 / 716	0	
Q9H6S0	YTHDC2	133 / 716	5.7	19
Q9NR56	MBNL1	8 / 716	1.8	6
P48664	SLC1A6	 / 716	0	
Q96D46	NMD3	10 / 716	1.2	2
P80294	MT1H	3 / 716	2.7	4
Q15293	RCN1	107 / 716	4.7	53
Q7Z3V4	UBE3B	1 / 716	1	1
Q5HY64	FAM47C	 / 716	0	
P51692	STAT5B	16 / 716	1.2	2
Q8NHS0	DNAJB8	43 / 716	1.2	5
O75366	AVIL	 / 716	0	
Q8WZA1	POMGNT1	 / 716	0	
Q8NEN9	PDZD8	18 / 716	1.2	2
