,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (cellular component),Subcellular location [CC],Mass,Function [CC],Tissue specificity,Gene Ontology (biological process),Gene Ontology (molecular function),Signal peptide,Transit peptide,DNA binding,Gene Ontology (GO),Protein families,Zinc finger,Gene Ontology IDs,alternative uniprot ID,Gene ontology (GO)
898,Q61490,reviewed,CD166_MOUSE,CD166 antigen (Activated leukocyte cell adhesion molecule) (BEN) (Protein DM-GRASP) (CD antigen CD166),Alcam,Mus musculus (Mouse),583,axon [GO:0030424]; dendrite [GO:0030425]; external side of plasma membrane [GO:0009897]; immunological synapse [GO:0001772]; integral component of plasma membrane [GO:0005887]; intrinsic component of plasma membrane [GO:0031226]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; T cell receptor complex [GO:0042101],,,,,adaptive immune response [GO:0002250]; axon extension involved in axon guidance [GO:0048846]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; motor neuron axon guidance [GO:0008045]; neuron projection extension [GO:1990138]; retinal ganglion cell axon guidance [GO:0031290],identical protein binding [GO:0042802],,,,axon [GO:0030424]; dendrite [GO:0030425]; external side of plasma membrane [GO:0009897]; immunological synapse [GO:0001772]; integral component of plasma membrane [GO:0005887]; intrinsic component of plasma membrane [GO:0031226]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; T cell receptor complex [GO:0042101]; identical protein binding [GO:0042802]; adaptive immune response [GO:0002250]; axon extension involved in axon guidance [GO:0048846]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; motor neuron axon guidance [GO:0008045]; neuron projection extension [GO:1990138]; retinal ganglion cell axon guidance [GO:0031290],,,GO:0001772; GO:0002250; GO:0005886; GO:0005887; GO:0007155; GO:0007157; GO:0007411; GO:0008045; GO:0009897; GO:0030424; GO:0030425; GO:0031226; GO:0031290; GO:0042101; GO:0042802; GO:0043025; GO:0048846; GO:1990138,,
948,F8VQ39,unreviewed,F8VQ39_MOUSE,Ankyrin repeat and death domain-containing 1A,Ankdd1a,Mus musculus (Mouse),480,,,,,,signal transduction [GO:0007165],,,,,signal transduction [GO:0007165],,,GO:0007165,,
1050,Q9CRA0,reviewed,NAR4_MOUSE,"Ecto-ADP-ribosyltransferase 4, EC 2.4.2.31 (ADP-ribosyltransferase C2 and C3 toxin-like 4, ARTC4) (Mono(ADP-ribosyl)transferase 4) (NAD(P)(+)--arginine ADP-ribosyltransferase 4) (CD antigen CD297)",Art4,Mus musculus (Mouse),300,anchored component of membrane [GO:0031225]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],,,,,peptidyl-arginine ADP-ribosylation [GO:0018120],NAD+ ADP-ribosyltransferase activity [GO:0003950]; NAD+-protein-arginine ADP-ribosyltransferase activity [GO:0106274],,,,anchored component of membrane [GO:0031225]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; NAD+ ADP-ribosyltransferase activity [GO:0003950]; NAD+-protein-arginine ADP-ribosyltransferase activity [GO:0106274]; peptidyl-arginine ADP-ribosylation [GO:0018120],,,GO:0003950; GO:0005886; GO:0016021; GO:0018120; GO:0031225; GO:0106274,,
1057,P34927,reviewed,ASGR1_MOUSE,"Asialoglycoprotein receptor 1, ASGP-R 1, ASGPR 1 (Hepatic lectin 1, HL-1, mHL-1)",Asgr1 Asgr-1,Mus musculus (Mouse),284,external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021],,,,,cellular response to extracellular stimulus [GO:0031668],asialoglycoprotein receptor activity [GO:0004873]; carbohydrate binding [GO:0030246]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872],,,,external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; asialoglycoprotein receptor activity [GO:0004873]; carbohydrate binding [GO:0030246]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; cellular response to extracellular stimulus [GO:0031668],,,GO:0004873; GO:0009897; GO:0016021; GO:0030246; GO:0031668; GO:0042802; GO:0046872,,
1242,Q4KMM3,reviewed,OXR1_MOUSE,Oxidation resistance protein 1 (Protein C7),Oxr1 C7 Gm1238,Mus musculus (Mouse),866,mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleus [GO:0005634],,,,,adult walking behavior [GO:0007628]; cellular response to hydroperoxide [GO:0071447]; negative regulation of cellular response to oxidative stress [GO:1900408]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of oxidative stress-induced neuron death [GO:1903204]; negative regulation of peptidyl-cysteine S-nitrosylation [GO:1902083]; neuron apoptotic process [GO:0051402]; response to oxidative stress [GO:0006979],oxidoreductase activity [GO:0016491],,,,mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleus [GO:0005634]; oxidoreductase activity [GO:0016491]; adult walking behavior [GO:0007628]; cellular response to hydroperoxide [GO:0071447]; negative regulation of cellular response to oxidative stress [GO:1900408]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of oxidative stress-induced neuron death [GO:1903204]; negative regulation of peptidyl-cysteine S-nitrosylation [GO:1902083]; neuron apoptotic process [GO:0051402]; response to oxidative stress [GO:0006979],,,GO:0005634; GO:0005730; GO:0005739; GO:0006979; GO:0007628; GO:0016491; GO:0043524; GO:0051402; GO:0071447; GO:1900408; GO:1902083; GO:1903204,,
1256,P61215,reviewed,CAH10_MOUSE,"Carbonic anhydrase-related protein 10 (Carbonic anhydrase-related protein X, CA-RP X, CARP X)",Ca10 Car10,Mus musculus (Mouse),328,,,,,,one-carbon metabolic process [GO:0006730],carbonate dehydratase activity [GO:0004089]; hydro-lyase activity [GO:0016836]; zinc ion binding [GO:0008270],,,,carbonate dehydratase activity [GO:0004089]; hydro-lyase activity [GO:0016836]; zinc ion binding [GO:0008270]; one-carbon metabolic process [GO:0006730],,,GO:0004089; GO:0006730; GO:0008270; GO:0016836,,
1274,C6KI89,reviewed,CTSG2_MOUSE,Cation channel sperm-associated auxiliary subunit gamma 2,Catsperg2 Catsperg,Mus musculus (Mouse),1145,CatSper complex [GO:0036128]; motile cilium [GO:0031514]; sperm principal piece [GO:0097228],,,,,cell differentiation [GO:0030154]; spermatogenesis [GO:0007283],,,,,CatSper complex [GO:0036128]; motile cilium [GO:0031514]; sperm principal piece [GO:0097228]; cell differentiation [GO:0030154]; spermatogenesis [GO:0007283],,,GO:0007283; GO:0030154; GO:0031514; GO:0036128; GO:0097228,,
1296,Q9D9B0,reviewed,CCD70_MOUSE,Coiled-coil domain-containing protein 70,Ccdc70,Mus musculus (Mouse),223,plasma membrane [GO:0005886],,,,,,,,,,plasma membrane [GO:0005886],,,GO:0005886,,
1297,J3QPU5,unreviewed,J3QPU5_MOUSE,Coiled-coil glutamate-rich protein 2,Ccer2 Gm6537,Mus musculus (Mouse),274,,,,,,,,,,,,,,,,
1332,F7C0M8,unreviewed,F7C0M8_MOUSE,C-C motif chemokine 25,Ccl25,Mus musculus (Mouse),146,,,,,,,,,,,,,,,,
1354,Q52KE7,reviewed,CCNL1_MOUSE,"Cyclin-L1, Cyclin-L (Cyclin Ania-6a)",Ccnl1 Ania6a Ccn1,Mus musculus (Mouse),532,cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; transcription elongation factor complex [GO:0008023],,,,,regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of centrosome cycle [GO:0046605]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of RNA splicing [GO:0043484]; regulation of transcription by RNA polymerase II [GO:0006357]; RNA processing [GO:0006396],cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538],,,,cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; transcription elongation factor complex [GO:0008023]; cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of centrosome cycle [GO:0046605]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of RNA splicing [GO:0043484]; regulation of transcription by RNA polymerase II [GO:0006357]; RNA processing [GO:0006396],,,GO:0000079; GO:0000307; GO:0005634; GO:0005737; GO:0006357; GO:0006396; GO:0008023; GO:0016538; GO:0016607; GO:0042981; GO:0043484; GO:0046605; GO:0051726,,
1400,Q61475,reviewed,DAF1_MOUSE,"Complement decay-accelerating factor, GPI-anchored, DAF-GPI (CD antigen CD55)",Cd55 Cd55a Daf Daf1,Mus musculus (Mouse),390,anchored component of membrane [GO:0031225]; apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; membrane raft [GO:0045121]; plasma membrane [GO:0005886],,,,,"complement activation, classical pathway [GO:0006958]; innate immune response [GO:0045087]; negative regulation of complement activation [GO:0045916]; negative regulation of complement activation, classical pathway [GO:0045959]; positive regulation of CD4-positive, alpha-beta T cell activation [GO:2000516]; positive regulation of CD4-positive, alpha-beta T cell proliferation [GO:2000563]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of T cell cytokine production [GO:0002726]; regulation of complement activation [GO:0030449]; regulation of complement activation, classical pathway [GO:0030450]; regulation of complement-dependent cytotoxicity [GO:1903659]; regulation of lipopolysaccharide-mediated signaling pathway [GO:0031664]; T cell mediated immunity [GO:0002456]",enzyme inhibitor activity [GO:0004857]; lipid binding [GO:0008289]; virus receptor activity [GO:0001618],,,,"anchored component of membrane [GO:0031225]; apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; enzyme inhibitor activity [GO:0004857]; lipid binding [GO:0008289]; virus receptor activity [GO:0001618]; complement activation, classical pathway [GO:0006958]; innate immune response [GO:0045087]; negative regulation of complement activation [GO:0045916]; negative regulation of complement activation, classical pathway [GO:0045959]; positive regulation of CD4-positive, alpha-beta T cell activation [GO:2000516]; positive regulation of CD4-positive, alpha-beta T cell proliferation [GO:2000563]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of T cell cytokine production [GO:0002726]; regulation of complement activation [GO:0030449]; regulation of complement activation, classical pathway [GO:0030450]; regulation of complement-dependent cytotoxicity [GO:1903659]; regulation of lipopolysaccharide-mediated signaling pathway [GO:0031664]; T cell mediated immunity [GO:0002456]",,,GO:0001618; GO:0002456; GO:0002726; GO:0004857; GO:0005886; GO:0006958; GO:0007204; GO:0008289; GO:0009897; GO:0009986; GO:0016324; GO:0030449; GO:0030450; GO:0031225; GO:0031664; GO:0045087; GO:0045121; GO:0045916; GO:0045959; GO:1903659; GO:2000516; GO:2000563,,
1404,Q61003,reviewed,CD6_MOUSE,T-cell differentiation antigen CD6 (CD antigen CD6),Cd6,Mus musculus (Mouse),665,external side of plasma membrane [GO:0009897]; immunological synapse [GO:0001772]; intrinsic component of plasma membrane [GO:0031226]; spanning component of plasma membrane [GO:0044214]; T cell receptor complex [GO:0042101],,,,,acute inflammatory response to antigenic stimulus [GO:0002438]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; immunological synapse formation [GO:0001771]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of T cell proliferation [GO:0042102]; response to lipopolysaccharide [GO:0032496],identical protein binding [GO:0042802]; lipopolysaccharide binding [GO:0001530]; lipoteichoic acid binding [GO:0070891]; protein kinase binding [GO:0019901]; scavenger receptor activity [GO:0005044],,,,external side of plasma membrane [GO:0009897]; immunological synapse [GO:0001772]; intrinsic component of plasma membrane [GO:0031226]; spanning component of plasma membrane [GO:0044214]; T cell receptor complex [GO:0042101]; identical protein binding [GO:0042802]; lipopolysaccharide binding [GO:0001530]; lipoteichoic acid binding [GO:0070891]; protein kinase binding [GO:0019901]; scavenger receptor activity [GO:0005044]; acute inflammatory response to antigenic stimulus [GO:0002438]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; immunological synapse formation [GO:0001771]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of T cell proliferation [GO:0042102]; response to lipopolysaccharide [GO:0032496],,,GO:0001530; GO:0001771; GO:0001772; GO:0001934; GO:0002438; GO:0005044; GO:0007157; GO:0009897; GO:0019901; GO:0031226; GO:0031663; GO:0032496; GO:0042101; GO:0042102; GO:0042802; GO:0044214; GO:0070891; GO:1900017,,
1481,E9QPK1,unreviewed,E9QPK1_MOUSE,Cell growth regulator with EF hand domain protein 1,Cgref1,Mus musculus (Mouse),280,,,,,,,calcium ion binding [GO:0005509],,,,calcium ion binding [GO:0005509],,,GO:0005509,,
1515,Q9EPW2,reviewed,KLF15_MOUSE,Krueppel-like factor 15 (Cardiovascular Krueppel-like factor),Klf15 Cklf,Mus musculus (Mouse),415,intracellular membrane-bounded organelle [GO:0043231]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],,,,,"cardiac muscle hypertrophy in response to stress [GO:0014898]; cellular glucose homeostasis [GO:0001678]; cellular response to peptide [GO:1901653]; glial cell differentiation [GO:0010001]; negative regulation of peptidyl-lysine acetylation [GO:2000757]; podocyte differentiation [GO:0072112]; positive regulation of glucose import [GO:0046326]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of gene expression [GO:0010468]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of Wnt signaling pathway [GO:0030111]; response to insulin [GO:0032868]","DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription cis-regulatory region binding [GO:0000976]",,,,"intracellular membrane-bounded organelle [GO:0043231]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription cis-regulatory region binding [GO:0000976]; cardiac muscle hypertrophy in response to stress [GO:0014898]; cellular glucose homeostasis [GO:0001678]; cellular response to peptide [GO:1901653]; glial cell differentiation [GO:0010001]; negative regulation of peptidyl-lysine acetylation [GO:2000757]; podocyte differentiation [GO:0072112]; positive regulation of glucose import [GO:0046326]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of gene expression [GO:0010468]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of Wnt signaling pathway [GO:0030111]; response to insulin [GO:0032868]",,,GO:0000976; GO:0000977; GO:0000978; GO:0000981; GO:0001228; GO:0001678; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0006357; GO:0010001; GO:0010468; GO:0014898; GO:0016607; GO:0030111; GO:0032868; GO:0043231; GO:0045893; GO:0045944; GO:0046326; GO:0046872; GO:0072112; GO:1901653; GO:1990837; GO:2000757,,
1519,Q9QX15,reviewed,CA3A1_MOUSE,"Calcium-activated chloride channel regulator 3A-1, EC 3.4.-.-",Clca3a1 Clca1,Mus musculus (Mouse),902,integral component of plasma membrane [GO:0005887],,,,,chloride transport [GO:0006821]; proteolysis [GO:0006508],intracellular calcium activated chloride channel activity [GO:0005229]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237],,,,integral component of plasma membrane [GO:0005887]; intracellular calcium activated chloride channel activity [GO:0005229]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; chloride transport [GO:0006821]; proteolysis [GO:0006508],,,GO:0005229; GO:0005887; GO:0006508; GO:0006821; GO:0008237; GO:0046872,,
1552,B1AWM0,unreviewed,B1AWM0_MOUSE,Cyclic nucleotide-binding domain-containing 1,Cnbd1,Mus musculus (Mouse),430,,,,,,,,,,,,,,,,
