Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (cellular component),Subcellular location [CC],Mass,Function [CC],Tissue specificity,Gene Ontology (biological process),Gene Ontology (molecular function),Signal peptide,Transit peptide
O43166,reviewed,SI1L1_HUMAN,"Signal-induced proliferation-associated 1-like protein 1, SIPA1-like protein 1 (High-risk human papilloma viruses E6 oncoproteins targeted protein 1, E6-targeted protein 1)",SIPA1L1 E6TP1 KIAA0440,Homo sapiens (Human),1804,actin cytoskeleton [GO:0015629]; anchoring junction [GO:0070161]; cytoplasm [GO:0005737]; dendritic spine [GO:0043197]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}. Postsynaptic density {ECO:0000250}. Synapse, synaptosome {ECO:0000250}. Note=Associated with the actin cytoskeleton. Detected at synapses and dendritic spines of cultured hippocampal neurons (By similarity). {ECO:0000250}.",200029,FUNCTION: Stimulates the GTPase activity of RAP2A. Promotes reorganization of the actin cytoskeleton and recruits DLG4 to F-actin. Contributes to the regulation of dendritic spine morphogenesis (By similarity). {ECO:0000250}.,TISSUE SPECIFICITY: Widely expressed. {ECO:0000269|PubMed:9858596}.,actin cytoskeleton reorganization [GO:0031532]; activation of GTPase activity [GO:0090630]; ephrin receptor signaling pathway [GO:0048013]; regulation of axonogenesis [GO:0050770]; regulation of dendrite morphogenesis [GO:0048814]; regulation of dendritic spine morphogenesis [GO:0061001]; regulation of GTPase activity [GO:0043087]; regulation of small GTPase mediated signal transduction [GO:0051056]; regulation of synaptic plasticity [GO:0048167],ephrin receptor binding [GO:0046875]; GTPase activator activity [GO:0005096],,
O43189,reviewed,PHF1_HUMAN,"PHD finger protein 1, Protein PHF1, hPHF1 (Polycomb-like protein 1, hPCl1)",PHF1 PCL1,Homo sapiens (Human),567,cytoplasm [GO:0005737]; microtubule organizing center [GO:0005815]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; site of double-strand break [GO:0035861],"SUBCELLULAR LOCATION: Nucleus. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Note=Localizes specifically to the promoters of numerous target genes. Localizes to double-strand breaks (DSBs) sites following DNA damage. Co-localizes with NEK6 in the centrosome.",62106,"FUNCTION: Polycomb group (PcG) that specifically binds histone H3 trimethylated at 'Lys-36' (H3K36me3) and recruits the PRC2 complex. Involved in DNA damage response and is recruited at double-strand breaks (DSBs). Acts by binding to H3K36me3, a mark for transcriptional activation, and recruiting the PRC2 complex: it is however unclear whether recruitment of the PRC2 complex to H3K36me3 leads to enhance or inhibit H3K27me3 methylation mediated by the PRC2 complex. According to some reports, PRC2 recruitment by PHF1 promotes H3K27me3 and subsequent gene silencing by inducing spreading of PRC2 and H3K27me3 into H3K36me3 loci (PubMed:18285464 and PubMed:23273982). According to another report, PHF1 recruits the PRC2 complex at double-strand breaks (DSBs) and inhibits the activity of PRC2 (PubMed:23142980). Regulates p53/TP53 stability and prolonges its turnover: may act by specifically binding to a methylated from of p53/TP53. {ECO:0000269|PubMed:18086877, ECO:0000269|PubMed:18285464, ECO:0000269|PubMed:18385154, ECO:0000269|PubMed:23142980, ECO:0000269|PubMed:23150668, ECO:0000269|PubMed:23273982}.","TISSUE SPECIFICITY: Highest levels in heart, skeletal muscle, and pancreas, lower levels in brain, placenta, lung, liver and kidney.","cellular response to DNA damage stimulus [GO:0006974]; chromatin organization [GO:0006325]; negative regulation of histone H3-K27 methylation [GO:0061086]; positive regulation of histone H3-K27 methylation [GO:0061087]; regulation of transcription, DNA-templated [GO:0006355]",chromatin binding [GO:0003682]; DNA binding [GO:0003677]; histone methyltransferase binding [GO:1990226]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; methylated histone binding [GO:0035064]; transcription corepressor binding [GO:0001222],,
O43237,reviewed,DC1L2_HUMAN,"Cytoplasmic dynein 1 light intermediate chain 2 (Dynein light intermediate chain 2, cytosolic, LIC-2) (LIC53/55)",DYNC1LI2 DNCLI2 LIC2,Homo sapiens (Human),492,centrosome [GO:0005813]; cytoplasmic dynein complex [GO:0005868]; cytosol [GO:0005829]; dynein complex [GO:0030286]; kinetochore [GO:0000776]; late endosome [GO:0005770]; lysosome [GO:0005764]; membrane [GO:0016020]; microtubule [GO:0005874],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}.",54099,FUNCTION: Acts as one of several non-catalytic accessory components of the cytoplasmic dynein 1 complex that are thought to be involved in linking dynein to cargos and to adapter proteins that regulate dynein function. Cytoplasmic dynein 1 acts as a motor for the intracellular retrograde motility of vesicles and organelles along microtubules. May play a role in binding dynein to membranous organelles or chromosomes.,,cellular response to nerve growth factor stimulus [GO:1990090]; centrosome localization [GO:0051642]; microtubule cytoskeleton organization [GO:0000226]; microtubule-based movement [GO:0007018],ATP binding [GO:0005524]; dynein heavy chain binding [GO:0045504]; identical protein binding [GO:0042802],,
O43264,reviewed,ZW10_HUMAN,Centromere/kinetochore protein zw10 homolog,ZW10,Homo sapiens (Human),779,cytosol [GO:0005829]; Dsl1/NZR complex [GO:0070939]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; kinetochore [GO:0000776]; kinetochore microtubule [GO:0005828]; lipid droplet [GO:0005811]; membrane [GO:0016020]; nucleus [GO:0005634]; RZZ complex [GO:1990423]; spindle pole [GO:0000922],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15029241}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:15029241}; Peripheral membrane protein {ECO:0000269|PubMed:15029241}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:11590237, ECO:0000269|PubMed:15485811, ECO:0000269|PubMed:15824131}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:11590237}. Lipid droplet {ECO:0000269|PubMed:30970241}. Note=Dynamic pattern of localization during the cell cycle. In most cells at interphase, present diffusely in the cytoplasm (PubMed:15029241). In prometaphase, associated with the kinetochore. At metaphase, detected both at the kinetochores and, most prominently, at the spindle, particularly at the spindle poles. In very early anaphase, detected on segregating kinetochores. In late anaphase and telophase, accumulates at the spindle midzone (PubMed:11590237). {ECO:0000269|PubMed:11590237, ECO:0000269|PubMed:15029241}.",88829,"FUNCTION: Essential component of the mitotic checkpoint, which prevents cells from prematurely exiting mitosis. Required for the assembly of the dynein-dynactin and MAD1-MAD2 complexes onto kinetochores. Its function related to the spindle assembly machinery is proposed to depend on its association in the mitotic RZZ complex (PubMed:11590237, PubMed:15485811, PubMed:15824131). Involved in regulation of membrane traffic between the Golgi and the endoplasmic reticulum (ER); the function is proposed to depend on its association in the interphase NRZ complex which is believed to play a role in SNARE assembly at the ER (PubMed:15029241). {ECO:0000269|PubMed:11590237, ECO:0000269|PubMed:15029241, ECO:0000269|PubMed:15094189, ECO:0000269|PubMed:15485811, ECO:0000269|PubMed:15824131, ECO:0000305}.",TISSUE SPECIFICITY: Widely expressed.,"cell division [GO:0051301]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; establishment of mitotic spindle orientation [GO:0000132]; Golgi organization [GO:0007030]; meiotic cell cycle [GO:0051321]; mitotic metaphase plate congression [GO:0007080]; mitotic sister chromatid segregation [GO:0000070]; mitotic spindle assembly checkpoint signaling [GO:0007094]; protein localization to kinetochore [GO:0034501]; protein transport [GO:0015031]; protein-containing complex assembly [GO:0065003]; regulation of exit from mitosis [GO:0007096]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]",centromeric DNA binding [GO:0019237],,
O43294,reviewed,TGFI1_HUMAN,"Transforming growth factor beta-1-induced transcript 1 protein (Androgen receptor coactivator 55 kDa protein) (Androgen receptor-associated protein of 55 kDa) (Hydrogen peroxide-inducible clone 5 protein, Hic-5)",TGFB1I1 ARA55,Homo sapiens (Human),461,cytoskeleton [GO:0005856]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; nuclear matrix [GO:0016363]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Cell junction, focal adhesion. Nucleus matrix. Cytoplasm, cytoskeleton. Note=Associated with the actin cytoskeleton; colocalizes with stress fibers.",49814,"FUNCTION: Functions as a molecular adapter coordinating multiple protein-protein interactions at the focal adhesion complex and in the nucleus. Links various intracellular signaling modules to plasma membrane receptors and regulates the Wnt and TGFB signaling pathways. May also regulate SLC6A3 and SLC6A4 targeting to the plasma membrane hence regulating their activity. In the nucleus, functions as a nuclear receptor coactivator regulating glucocorticoid, androgen, mineralocorticoid and progesterone receptor transcriptional activity. May play a role in the processes of cell growth, proliferation, migration, differentiation and senescence. May have a zinc-dependent DNA-binding activity. {ECO:0000269|PubMed:10075738, ECO:0000269|PubMed:11463817, ECO:0000269|PubMed:11856738, ECO:0000269|PubMed:12177201, ECO:0000269|PubMed:12445807, ECO:0000269|PubMed:12700349, ECO:0000269|PubMed:15211577, ECO:0000269|PubMed:15561701, ECO:0000269|PubMed:16141357, ECO:0000269|PubMed:16624805, ECO:0000269|PubMed:16803896, ECO:0000269|PubMed:16849583, ECO:0000269|PubMed:17166536, ECO:0000269|PubMed:17233630, ECO:0000269|PubMed:9032249}.","TISSUE SPECIFICITY: Expressed in platelets, smooth muscle and prostate stromal cells (at protein level). {ECO:0000269|PubMed:10075738, ECO:0000269|PubMed:10708479, ECO:0000269|PubMed:11311131, ECO:0000269|PubMed:12642630, ECO:0000269|PubMed:12772188, ECO:0000269|PubMed:16849583, ECO:0000269|PubMed:17166536, ECO:0000269|PubMed:17233630, ECO:0000269|PubMed:9664039}.","cell adhesion [GO:0007155]; cell fate commitment [GO:0045165]; epithelial cell differentiation [GO:0030855]; fat cell differentiation [GO:0045444]; morphogenesis of embryonic epithelium [GO:0016331]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; ubiquitin-dependent SMAD protein catabolic process [GO:0030579]; Wnt signaling pathway [GO:0016055]",I-SMAD binding [GO:0070411]; metal ion binding [GO:0046872]; nuclear androgen receptor binding [GO:0050681]; Roundabout binding [GO:0048495]; transcription coactivator activity [GO:0003713]; transcription coregulator activity [GO:0003712],,
O43303,reviewed,CP110_HUMAN,"Centriolar coiled-coil protein of 110 kDa (Centrosomal protein of 110 kDa, CP110, Cep110)",CCP110 CEP110 CP110 KIAA0419,Homo sapiens (Human),1012,centriole [GO:0005814]; centrosome [GO:0005813]; cilium [GO:0005929]; cytosol [GO:0005829]; protein-containing complex [GO:0032991],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:12361598, ECO:0000269|PubMed:14654843, ECO:0000269|PubMed:16760425, ECO:0000269|PubMed:17681131, ECO:0000269|PubMed:17719545, ECO:0000269|PubMed:20596027, ECO:0000269|PubMed:21620453, ECO:0000269|PubMed:30375385}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:30375385}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:Q7TSH4}. Note=Recruited early and then associates with the growing distal tips. Recruited to the mother centriole by KIF24 (PubMed:21620453). Removed from centrioles by TTBK2, leading to initiation of ciliogenesis and localizes only to the daughter centriole in ciliated cells. In cytotoxic T lymphocytes remains associated with the mother centriole during docking of the centrosome at the immunological synapse upon target contact (By similarity). Recruited at the distal end of the mother centriole by MPHOSPH9 (PubMed:30375385). {ECO:0000250|UniProtKB:Q7TSH4, ECO:0000269|PubMed:21620453, ECO:0000269|PubMed:30375385}.",113424,"FUNCTION: Necessary for centrosome duplication at different stages of procentriole formation. Acts as a key negative regulator of ciliogenesis in collaboration with CEP97 by capping the mother centriole thereby preventing cilia formation (PubMed:17719545, PubMed:17681131, PubMed:23486064, PubMed:30375385). Also involved in promoting ciliogenesis. May play a role in the assembly of the mother centriole subdistal appendages (SDA) thereby effecting the fusion of recycling endosomes to basal bodies during cilia formation (By similarity). Required for correct spindle formation and has a role in regulating cytokinesis and genome stability via cooperation with CALM1 and CETN2 (PubMed:16760425). {ECO:0000250|UniProtKB:Q7TSH4, ECO:0000269|PubMed:12361598, ECO:0000269|PubMed:16760425, ECO:0000269|PubMed:17681131, ECO:0000269|PubMed:17719545, ECO:0000269|PubMed:23486064, ECO:0000269|PubMed:30375385}.","TISSUE SPECIFICITY: Highly expressed in testis. Detected at intermediate levels in spleen, thymus, prostate, small intestine, colon and peripheral blood leukocytes. {ECO:0000269|PubMed:12361598}.",centriole replication [GO:0007099]; centrosome duplication [GO:0051298]; ciliary basal body organization [GO:0032053]; negative regulation of centriole elongation [GO:1903723]; negative regulation of cilium assembly [GO:1902018]; positive regulation of cilium assembly [GO:0045724]; regulation of cytokinesis [GO:0032465],,,
O43312,reviewed,MTSS1_HUMAN,Protein MTSS 1 (Metastasis suppressor YGL-1) (Metastasis suppressor protein 1) (Missing in metastasis protein),MTSS1 KIAA0429 MIM,Homo sapiens (Human),755,actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; endocytic vesicle [GO:0030139]; intrinsic component of the cytoplasmic side of the plasma membrane [GO:0031235]; ruffle [GO:0001726],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.",82251,"FUNCTION: May be related to cancer progression or tumor metastasis in a variety of organ sites, most likely through an interaction with the actin cytoskeleton.","TISSUE SPECIFICITY: Expressed in many tissues, including spleen, thymus, prostate, testis, uterus, colon, and peripheral blood. {ECO:0000269|PubMed:12082544}.",actin cytoskeleton organization [GO:0030036]; adherens junction maintenance [GO:0034334]; cell adhesion [GO:0007155]; cellular response to fluid shear stress [GO:0071498]; epithelial cell proliferation involved in renal tubule morphogenesis [GO:2001013]; glomerulus morphogenesis [GO:0072102]; microspike assembly [GO:0030035]; negative regulation of epithelial cell proliferation [GO:0050680]; nephron tubule epithelial cell differentiation [GO:0072160]; plasma membrane organization [GO:0007009]; positive regulation of actin filament bundle assembly [GO:0032233]; renal tubule morphogenesis [GO:0061333]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169],actin binding [GO:0003779]; actin monomer binding [GO:0003785]; identical protein binding [GO:0042802]; phospholipid binding [GO:0005543]; signaling receptor binding [GO:0005102],,
O43379,reviewed,WDR62_HUMAN,WD repeat-containing protein 62,WDR62 C19orf14,Homo sapiens (Human),1518,centriolar satellite [GO:0034451]; centriole [GO:0005814]; centrosome [GO:0005813]; cytosol [GO:0005829]; mitotic spindle [GO:0072686]; nucleus [GO:0005634]; spindle pole [GO:0000922],"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20729831, ECO:0000269|PubMed:21496009}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:20890278, ECO:0000269|PubMed:20890279, ECO:0000269|PubMed:28089251}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:20890278, ECO:0000269|PubMed:21496009, ECO:0000269|PubMed:26297806}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:26297806}. Note=Shows cell cycle-dependent localization. Accumulates to the spindle pole during mitosis. Colocalizes with CDK5RAP2, CEP152 and WDR62 in a discrete ring around the proximal end of the parental centriole. At this site, a cohesive structure is predicted to engage parental centrioles and procentrioles. {ECO:0000269|PubMed:20890278, ECO:0000269|PubMed:26297806}.",165954,"FUNCTION: Required for cerebral cortical development. Plays a role in neuronal proliferation and migration (PubMed:20890278, PubMed:20729831). Plays a role in mother-centriole-dependent centriole duplication; the function seems also to involve CEP152, CDK5RAP2 and CEP63 through a stepwise assembled complex at the centrosome that recruits CDK2 required for centriole duplication (PubMed:26297806). {ECO:0000269|PubMed:20729831, ECO:0000269|PubMed:20890278, ECO:0000269|PubMed:26297806}.","TISSUE SPECIFICITY: Present in fetal brain, enriched within the ventricular and subventricular zone (at protein level). In the embryonic brain it is expressed in mitotic neural precursor cells. {ECO:0000269|PubMed:20890279}.",centriole replication [GO:0007099]; cerebral cortex development [GO:0021987]; mitotic spindle organization [GO:0007052]; neurogenesis [GO:0022008]; positive regulation of neuroblast proliferation [GO:0002052]; positive regulation of neuron migration [GO:2001224]; regulation of centrosome cycle [GO:0046605]; regulation of neuron differentiation [GO:0045664],,,
O43491,reviewed,E41L2_HUMAN,"Band 4.1-like protein 2 (Erythrocyte membrane protein band 4.1-like 2) (Generally expressed protein 4.1, 4.1G)",EPB41L2,Homo sapiens (Human),1005,cell cortex [GO:0005938]; cell junction [GO:0030054]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; spectrin [GO:0008091],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}. Cytoplasm, cell cortex {ECO:0000269|PubMed:23870127}. Cell membrane {ECO:0000269|PubMed:22361696}.",112588,FUNCTION: Required for dynein-dynactin complex and NUMA1 recruitment at the mitotic cell cortex during anaphase (PubMed:23870127). {ECO:0000269|PubMed:23870127}.,TISSUE SPECIFICITY: Widely expressed.,actomyosin structure organization [GO:0031032]; cell cycle [GO:0007049]; cell division [GO:0051301]; cortical actin cytoskeleton organization [GO:0030866]; positive regulation of protein localization to cell cortex [GO:1904778],actin binding [GO:0003779]; PH domain binding [GO:0042731]; spectrin binding [GO:0030507]; structural molecule activity [GO:0005198],,
O43516,reviewed,WIPF1_HUMAN,"WAS/WASL-interacting protein family member 1 (Protein PRPL-2) (Wiskott-Aldrich syndrome protein-interacting protein, WASP-interacting protein)",WIPF1 WASPIP WIP,Homo sapiens (Human),503,actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; ruffle [GO:0001726],"SUBCELLULAR LOCATION: Cytoplasmic vesicle {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Cell projection, ruffle {ECO:0000269|PubMed:19910490}. Note=Vesicle surfaces and along actin tails. Colocalizes with actin stress fibers. When coexpressed with WASL, no longer associated with actin filaments but accumulated in perinuclear and cortical areas like WASL (By similarity). {ECO:0000250}.",51258,"FUNCTION: Plays a role in the reorganization of the actin cytoskeleton. Contributes with NCK1 and GRB2 in the recruitment and activation of WASL. May participate in regulating the subcellular localization of WASL, resulting in the disassembly of stress fibers in favor of filopodia formation. Plays a role in the formation of cell ruffles (By similarity). Plays an important role in the intracellular motility of vaccinia virus by functioning as an adapter for recruiting WASL to vaccinia virus. {ECO:0000250, ECO:0000269|PubMed:10878810, ECO:0000269|PubMed:19910490, ECO:0000269|PubMed:9405671}.","TISSUE SPECIFICITY: Highly expressed in peripheral blood mononuclear cells, spleen, placenta, small intestine, colon and thymus. Lower expression in ovary, heart, brain, lung, liver, skeletal muscle, kidney, pancreas, prostate and testis. {ECO:0000269|PubMed:9405671}.",actin filament-based movement [GO:0030048]; actin polymerization or depolymerization [GO:0008154]; protein-containing complex assembly [GO:0065003]; response to other organism [GO:0051707],actin binding [GO:0003779]; profilin binding [GO:0005522]; SH3 domain binding [GO:0017124],,
O43543,reviewed,XRCC2_HUMAN,DNA repair protein XRCC2 (X-ray repair cross-complementing protein 2),XRCC2,Homo sapiens (Human),280,centrosome [GO:0005813]; cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; Rad51B-Rad51C-Rad51D-XRCC2 complex [GO:0033063]; replication fork [GO:0005657],"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21276791}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:21276791}.",31956,"FUNCTION: Involved in the homologous recombination repair (HRR) pathway of double-stranded DNA, thought to repair chromosomal fragmentation, translocations and deletions. Part of the RAD51 paralog protein complex BCDX2 which acts in the BRCA1-BRCA2-dependent HR pathway. Upon DNA damage, BCDX2 acts downstream of BRCA2 recruitment and upstream of RAD51 recruitment. BCDX2 binds predominantly to the intersection of the four duplex arms of the Holliday junction and to junction of replication forks. The BCDX2 complex was originally reported to bind single-stranded DNA, single-stranded gaps in duplex DNA and specifically to nicks in duplex DNA. {ECO:0000269|PubMed:11751635, ECO:0000269|PubMed:11834724, ECO:0000269|PubMed:21276791, ECO:0000269|PubMed:23149936, ECO:0000269|PubMed:27233470}.",,centrosome cycle [GO:0007098]; DNA repair [GO:0006281]; double-strand break repair via homologous recombination [GO:0000724]; in utero embryonic development [GO:0001701]; meiotic cell cycle [GO:0051321]; mitotic cell cycle [GO:0000278]; multicellular organism growth [GO:0035264]; negative regulation of neuron apoptotic process [GO:0043524]; neurogenesis [GO:0022008]; positive regulation of neurogenesis [GO:0050769]; regulation of fibroblast apoptotic process [GO:2000269]; response to gamma radiation [GO:0010332]; response to X-ray [GO:0010165]; somitogenesis [GO:0001756]; strand invasion [GO:0042148],ATP binding [GO:0005524]; ATP-dependent DNA damage sensor activity [GO:0140664]; DNA binding [GO:0003677],,
O43556,reviewed,SGCE_HUMAN,"Epsilon-sarcoglycan, Epsilon-SG",SGCE ESG UNQ433/PRO840,Homo sapiens (Human),437,cytoskeleton [GO:0005856]; dendrite membrane [GO:0032590]; dystrophin-associated glycoprotein complex [GO:0016010]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; sarcoglycan complex [GO:0016012]; sarcolemma [GO:0042383],"SUBCELLULAR LOCATION: Cell membrane, sarcolemma {ECO:0000250}; Single-pass membrane protein {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Cell projection, dendrite {ECO:0000250}. Golgi apparatus {ECO:0000250}.",49851,"FUNCTION: Component of the sarcoglycan complex, a subcomplex of the dystrophin-glycoprotein complex which forms a link between the F-actin cytoskeleton and the extracellular matrix.",TISSUE SPECIFICITY: Ubiquitous.,cell-matrix adhesion [GO:0007160]; muscle organ development [GO:0007517],,,
O43566,reviewed,RGS14_HUMAN,"Regulator of G-protein signaling 14, RGS14",RGS14,Homo sapiens (Human),566,anchoring junction [GO:0070161]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; glutamatergic synapse [GO:0098978]; microtubule [GO:0005874]; nuclear body [GO:0016604]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; PML body [GO:0016605]; postsynaptic density [GO:0014069]; spindle [GO:0005819]; spindle pole [GO:0000922],"SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Nucleus, PML body {ECO:0000250}. Cytoplasm {ECO:0000269|PubMed:15917656}. Membrane {ECO:0000250}. Cell membrane {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:15917656}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250}. Cell projection, dendrite {ECO:0000250}. Cell projection, dendritic spine {ECO:0000250}. Postsynaptic density {ECO:0000250}. Note=Associates with the perinuclear sheaths of microtubules (MTs) surrounding the pronuclei, prior to segregating to the anastral mitotic apparatus and subsequently the barrel-shaped cytoplasmic bridge between the nascent nuclei of the emerging 2-cell embryo. Localizes to a perinuclear compartment near the microtubule-organizing center (MTOC). Expressed in the nucleus during interphase and segregates to the centrosomes and astral MTs during mitosis. Relocalizes to the nucleus in PML nuclear bodies in response to heat stress. Colocalizes with RIC8A in CA2 hippocampal neurons. Localizes to spindle poles during metaphase. Shuttles between the nucleus and cytoplasm in a CRM1-dependent manner. Recruited from the cytosol to the plasma membrane by the inactive GDP-bound forms of G(i) alpha subunits GNAI1 and GNAI3. Recruited from the cytosol to membranes by the active GTP-bound form of HRAS. Colocalizes with G(i) alpha subunit GNAI1 and RIC8A at the plasma membrane. Colocalizes with BRAF and RAF1 in both the cytoplasm and membranes (By similarity). {ECO:0000250}.",61447,"FUNCTION: Regulates G protein-coupled receptor signaling cascades. Inhibits signal transduction by increasing the GTPase activity of G protein alpha subunits, thereby driving them into their inactive GDP-bound form. Besides, modulates signal transduction via G protein alpha subunits by functioning as a GDP-dissociation inhibitor (GDI). Has GDI activity on G(i) alpha subunits GNAI1 and GNAI3, but not on GNAI2 and G(o)-alpha subunit GNAO1. Has GAP activity on GNAI0, GNAI2 and GNAI3. May act as a scaffold integrating G protein and Ras/Raf MAPkinase signaling pathways. Inhibits platelet-derived growth factor (PDGF)-stimulated ERK1/ERK2 phosphorylation; a process depending on its interaction with HRAS and that is reversed by G(i) alpha subunit GNAI1. Acts as a positive modulator of microtubule polymerisation and spindle organization through a G(i)-alpha-dependent mechanism. Plays a role in cell division. Required for the nerve growth factor (NGF)-mediated neurite outgrowth. Involved in stress resistance. May be involved in visual memory processing capacity and hippocampal-based learning and memory. {ECO:0000269|PubMed:15917656, ECO:0000269|PubMed:17635935}.",,cell division [GO:0051301]; chromosome segregation [GO:0007059]; G protein-coupled receptor signaling pathway [GO:0007186]; intracellular signal transduction [GO:0035556]; learning [GO:0007612]; long-term memory [GO:0007616]; long-term synaptic potentiation [GO:0060291]; mitotic cell cycle [GO:0000278]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of G protein-coupled receptor signaling pathway [GO:0045744]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of synaptic plasticity [GO:0031914]; nucleocytoplasmic transport [GO:0006913]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; positive regulation of GTPase activity [GO:0043547]; positive regulation of neurogenesis [GO:0050769]; regulation of DNA-templated transcription in response to stress [GO:0043620]; regulation of G protein-coupled receptor signaling pathway [GO:0008277]; response to oxidative stress [GO:0006979]; spindle organization [GO:0007051]; visual learning [GO:0008542]; zygote asymmetric cell division [GO:0010070],G-protein alpha-subunit binding [GO:0001965]; GDP-dissociation inhibitor activity [GO:0005092]; GTPase activating protein binding [GO:0032794]; GTPase activator activity [GO:0005096]; GTPase activity [GO:0003924]; microtubule binding [GO:0008017]; protein kinase binding [GO:0019901]; signaling receptor complex adaptor activity [GO:0030159],,
