,From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (biological process),Gene Ontology (GO),Gene Ontology IDs,Gene Ontology (cellular component),Gene Ontology (molecular function),"TFs (GSEA, 2022)",NOTE,placeholder
10,Q86V81,Q86V81,reviewed,THOC4_HUMAN,"THO complex subunit 4, Tho4 (Ally of AML-1 and LEF-1) (Aly/REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing factor BEF)",ALYREF ALY BEF THOC4,Homo sapiens (Human),257.0,"mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; osteoblast differentiation [GO:0001649]; positive regulation of DNA-templated transcription, elongation [GO:0032786]; regulation of DNA recombination [GO:0000018]; replication fork processing [GO:0031297]; RNA export from nucleus [GO:0006405]; viral mRNA export from host cell nucleus [GO:0046784]","catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription export complex [GO:0000346]; C5-methylcytidine-containing RNA binding [GO:0062153]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; osteoblast differentiation [GO:0001649]; positive regulation of DNA-templated transcription, elongation [GO:0032786]; regulation of DNA recombination [GO:0000018]; replication fork processing [GO:0031297]; RNA export from nucleus [GO:0006405]; viral mRNA export from host cell nucleus [GO:0046784]",GO:0000018; GO:0000346; GO:0000398; GO:0001649; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006405; GO:0006406; GO:0016020; GO:0016607; GO:0031297; GO:0032786; GO:0046784; GO:0062153; GO:0070062; GO:0071013,catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription export complex [GO:0000346],C5-methylcytidine-containing RNA binding [GO:0062153]; mRNA binding [GO:0003729]; RNA binding [GO:0003723],ALYREF,manual check: found,x
11,Q8N7R0,Q8N7R0,reviewed,NANG2_HUMAN,Putative homeobox protein NANOG2,NANOGP1 NANOG2,Homo sapiens (Human),232.0,regulation of transcription by RNA polymerase II [GO:0006357],"nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; regulation of transcription by RNA polymerase II [GO:0006357]",GO:0000978; GO:0000981; GO:0005634; GO:0006357,nucleus [GO:0005634],"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]",NANOGP1,manual check: found,x
12,Q96T25,Q96T25,reviewed,ZIC5_HUMAN,Zinc finger protein ZIC 5 (Zinc finger protein of the cerebellum 5),ZIC5,Homo sapiens (Human),663.0,cell differentiation [GO:0030154]; central nervous system development [GO:0007417]; regulation of transcription by RNA polymerase II [GO:0006357],"nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; cell differentiation [GO:0030154]; central nervous system development [GO:0007417]; regulation of transcription by RNA polymerase II [GO:0006357]",GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0007417; GO:0030154; GO:0046872; GO:1990837,nucleus [GO:0005634],"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]",ZIC5,manual check: found,x
13,Q9BWW7,Q9BWW7,reviewed,SCRT1_HUMAN,"Transcriptional repressor scratch 1 (Scratch homolog 1 zinc finger protein, SCRT, Scratch 1, hScrt)",SCRT1,Homo sapiens (Human),348.0,"negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of neuron migration [GO:2001222]; regulation of transcription, DNA-templated [GO:0006355]","nuclear body [GO:0016604]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of neuron migration [GO:2001222]; regulation of transcription, DNA-templated [GO:0006355]",GO:0000122; GO:0000977; GO:0000978; GO:0000981; GO:0001227; GO:0003700; GO:0006355; GO:0016604; GO:0043565; GO:0046872; GO:1990837; GO:2001222,nuclear body [GO:0016604],"DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]",SCRT1,manual check: found,x
14,Q9GZW5,Q9GZW5,reviewed,SCND2_HUMAN,Putative SCAN domain-containing protein SCAND2P (SCAN domain-containing protein 2 pseudogene),SCAND2P SCAND2,Homo sapiens (Human),306.0,regulation of transcription by RNA polymerase II [GO:0006357],"nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; regulation of transcription by RNA polymerase II [GO:0006357]",GO:0000978; GO:0000981; GO:0005634; GO:0006357,nucleus [GO:0005634],"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]",SCAND2P,manual check: found,x
15,Q9H7N4,Q9H7N4,reviewed,SFR19_HUMAN,"Splicing factor, arginine/serine-rich 19 (SR-related C-terminal domain-associated factor 1, SR-related and CTD-associated factor 1) (SR-related-CTD-associated factor, SCAF) (Serine arginine-rich pre-mRNA splicing factor SR-A1, SR-A1)",SCAF1 SFRS19 SRA1,Homo sapiens (Human),1312.0,mRNA processing [GO:0006397]; RNA splicing [GO:0008380]; transcription by RNA polymerase II [GO:0006366],nucleus [GO:0005634]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]; RNA polymerase II C-terminal domain binding [GO:0099122]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]; transcription by RNA polymerase II [GO:0006366],GO:0003723; GO:0005634; GO:0006366; GO:0006397; GO:0008380; GO:0019904; GO:0099122,nucleus [GO:0005634],protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]; RNA polymerase II C-terminal domain binding [GO:0099122],SRA1,manual check: found,x
16,Q9NQ33,Q9NQ33,reviewed,ASCL3_HUMAN,"Achaete-scute homolog 3, ASH-3, hASH3 (Class A basic helix-loop-helix protein 42, bHLHa42) (bHLH transcriptional regulator Sgn-1)",ASCL3 BHLHA42 HASH3 SGN1,Homo sapiens (Human),180.0,positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357],"chromatin [GO:0000785]; RNA polymerase II transcription regulator complex [GO:0090575]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; protein dimerization activity [GO:0046983]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]",GO:0000785; GO:0000977; GO:0000981; GO:0001227; GO:0003677; GO:0006357; GO:0045944; GO:0046983; GO:0090575,chromatin [GO:0000785]; RNA polymerase II transcription regulator complex [GO:0090575],"DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; protein dimerization activity [GO:0046983]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]",ASCL3,manual check: found,x
17,,,,,,,,,,,,,,NKX1-1,manual check: mulitple uniprot IDs,x
18,,,,,,,,,,,,,,POU5F1P3,manual check: multiple uniprot IDs,x
19,,,,,,,,,,,,,,POU5F1P4,manual check: multiple uniprot IDs,x
20,,,,,,,,,,,,,,MORF4,manual check: not in human,x
21,H3BNR1,H3BNR1,unreviewed,H3BNR1_HUMAN,BORCS8-MEF2B readthrough,BORCS8-MEF2B,Homo sapiens (Human),382.0,animal organ development [GO:0048513]; positive regulation of transcription by RNA polymerase II [GO:0045944],"cell junction [GO:0030054]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein dimerization activity [GO:0046983]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; animal organ development [GO:0048513]; positive regulation of transcription by RNA polymerase II [GO:0045944]",GO:0000977; GO:0000981; GO:0005654; GO:0005829; GO:0030054; GO:0045944; GO:0046983; GO:0048513,cell junction [GO:0030054]; cytosol [GO:0005829]; nucleoplasm [GO:0005654],"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein dimerization activity [GO:0046983]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]",BORCS8-MEF2B,manual check: uncertain,x
22,Q13536,Q13536,reviewed,CROC4_HUMAN,Protein CROC-4 (Contingent replication of cDNA 4) (MIR9-1 host gene),MIR9-1HG C1orf61 CROC4,Homo sapiens (Human),156.0,positive regulation of transcription by RNA polymerase II [GO:0045944],nucleus [GO:0005634]; positive regulation of transcription by RNA polymerase II [GO:0045944],GO:0005634; GO:0045944,nucleus [GO:0005634],,MIR9-1HG,manual check: uncertain,x
23,Q7RTT3,Q7RTT3,reviewed,SSX9_HUMAN,Putative protein SSX9,SSX9P SSX9,Homo sapiens (Human),188.0,"regulation of transcription, DNA-templated [GO:0006355]","nucleus [GO:0005634]; regulation of transcription, DNA-templated [GO:0006355]",GO:0005634; GO:0006355,nucleus [GO:0005634],,SSX9P,manual check: uncertain,x
24,Q7RTT4,Q7RTT4,reviewed,SSX8_HUMAN,Putative protein SSX8,SSX8P SSX8,Homo sapiens (Human),187.0,"regulation of transcription, DNA-templated [GO:0006355]","nucleus [GO:0005634]; regulation of transcription, DNA-templated [GO:0006355]",GO:0005634; GO:0006355,nucleus [GO:0005634],,SSX8P,manual check: uncertain,x
25,Q7RTT6,Q7RTT6,reviewed,SSX6_HUMAN,Putative protein SSX6,SSX6P SSX6,Homo sapiens (Human),188.0,"regulation of transcription, DNA-templated [GO:0006355]","nucleus [GO:0005634]; regulation of transcription, DNA-templated [GO:0006355]",GO:0005634; GO:0006355,nucleus [GO:0005634],,SSX6P,manual check: uncertain,x
26,Q8N7U7,Q8N7U7,reviewed,TPRX1_HUMAN,Tetra-peptide repeat homeobox protein 1,TPRX1,Homo sapiens (Human),411.0,regulation of transcription by RNA polymerase II [GO:0006357],"chromatin [GO:0000785]; nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; regulation of transcription by RNA polymerase II [GO:0006357]",GO:0000785; GO:0000978; GO:0000981; GO:0005634; GO:0006357,chromatin [GO:0000785]; nucleus [GO:0005634],"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]",TPRX1,manual check: uncertain,x
27,,,,,,,,,,,,,,NANOGP11,manual check: unclear,x
28,,,,,,,,,,,,,,NANOGP2,manual check: unclear,x
29,,,,,,,,,,,,,,ARGFXP1,not found,x
30,,,,,,,,,,,,,,ARGFXP2,not found,x
31,,,,,,,,,,,,,,BTF3P11,not found,x
32,,,,,,,,,,,,,,BTF3P12,not found,x
33,,,,,,,,,,,,,,BTF3P13,not found,x
34,,,,,,,,,,,,,,CUX2P1,not found,x
35,,,,,,,,,,,,,,DPRXP1,not found,x
36,,,,,,,,,,,,,,DPRXP2,not found,x
37,,,,,,,,,,,,,,DPRXP3,not found,x
38,,,,,,,,,,,,,,DPRXP4,not found,x
39,,,,,,,,,,,,,,DPRXP5,not found,x
40,,,,,,,,,,,,,,DPRXP6,not found,x
41,,,,,,,,,,,,,,DPRXP7,not found,x
42,,,,,,,,,,,,,,DUX4L8,not found,x
43,,,,,,,,,,,,,,DUXAP1,not found,x
44,,,,,,,,,,,,,,DUXAP10,not found,x
45,,,,,,,,,,,,,,DUXAP2,not found,x
46,,,,,,,,,,,,,,DUXAP3,not found,x
47,,,,,,,,,,,,,,DUXAP4,not found,x
48,,,,,,,,,,,,,,DUXAP5,not found,x
49,,,,,,,,,,,,,,DUXAP6,not found,x
50,,,,,,,,,,,,,,DUXAP7,not found,x
51,,,,,,,,,,,,,,DUXAP8,not found,x
52,,,,,,,,,,,,,,DUXAP9,not found,x
53,,,,,,,,,,,,,,IRX1P1,not found,x
54,,,,,,,,,,,,,,MSX2P1,not found,x
55,,,,,,,,,,,,,,NANOGP10,not found,x
56,,,,,,,,,,,,,,NANOGP3,not found,x
57,,,,,,,,,,,,,,NANOGP4,not found,x
58,,,,,,,,,,,,,,NANOGP5,not found,x
59,,,,,,,,,,,,,,NANOGP6,not found,x
60,,,,,,,,,,,,,,NANOGP7,not found,x
61,,,,,,,,,,,,,,NANOGP9,not found,x
62,,,,,,,,,,,,,,OTX2P1,not found,x
63,,,,,,,,,,,,,,PBX2P1,not found,x
64,,,,,,,,,,,,,,POU5F1P2,not found,x
65,,,,,,,,,,,,,,POU5F1P5,not found,x
66,,,,,,,,,,,,,,POU5F1P6,not found,x
67,,,,,,,,,,,,,,POU5F1P7,not found,x
68,,,,,,,,,,,,,,TGIF1P1,not found,x
69,,,,,,,,,,,,,,TGIF2P1,not found,x
70,,,,,,,,,,,,,,TNRC18P2,not found,x
71,,,,,,,,,,,,,,TPRX1P1,not found,x
72,,,,,,,,,,,,,,TPRX2P,not found,x
73,,,,,,,,,,,,,,VENTXP2,not found,x
74,,,,,,,,,,,,,,VENTXP3,not found,x
75,,,,,,,,,,,,,,VENTXP4,not found,x
76,,,,,,,,,,,,,,VENTXP5,not found,x
77,,,,,,,,,,,,,,VENTXP6,not found,x
78,,,,,,,,,,,,,,VENTXP7,not found,x
79,,,,,,,,,,,,,,ZEB2P1,not found,x
80,,,,,,,,,,,,,,ZNF123P,not found,x
81,,,,,,,,,,,,,,ZNF271P,not found,x
82,,,,,,,,,,,,,,ZNF29P,not found,x
83,A0A1W2PPF3,A0A1W2PPF3,reviewed,DUXB_HUMAN,Double homeobox protein B,DUXB,Homo sapiens (Human),345.0,regulation of transcription by RNA polymerase II [GO:0006357],"nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; regulation of transcription by RNA polymerase II [GO:0006357]",GO:0000977; GO:0000981; GO:0005634; GO:0006357,nucleus [GO:0005634],"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]",DUXB,,x
